OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
1201,State Highway,199, ,{8DCE7CC0-09FF-443D-927C-FFEC7132B86E},
1202,State Highway,199, ,{5375D4F8-F3DC-49E4-BD14-E069709EB6B5},
1203,State Highway,199,2nd St,{4871EE55-8191-4277-BB4D-0EEFAE0E5723},
1204,State Highway,199,5th Ave,{23220CE6-7838-485A-89D0-0F432463A674},
1205,State Highway,199,Broad St,{11B9F9B5-9BE1-4146-AFB9-FB4DA3480B1F},
1206,State Highway,199,Callaway Rd,{D83B78BF-06DA-44C0-938D-B65AD08A327A},
1207,State Highway,199,Durand Hwy,{BE7C8338-EBDC-4884-B71D-06AA692D027B},
1208,State Highway,199,Greenville Rd,{AB509E42-EF5D-4758-B9B4-DFFBD48287E4},
1209,State Highway,199,Griffin Hwy,{3C2E629D-AAD9-409B-93C6-458BBC01790F},
1210,State Highway,199,Johnson Ave,{592A3285-1D0C-4A19-9CF1-739F4D6CCE39},
1211,State Highway,063,Highway 138,{98B58453-7186-47FE-94D9-1AFE71C182A4},
1212,State Highway,063,Highway 138,{8E778807-1F82-4132-BF67-FC32902A03B4},
1213,State Highway,063,Highway 138,{13F41251-166C-4DB9-BC3E-78312D8AEC3E},
1214,State Highway,063,Highway 138,{B3B4F416-D733-4D9D-ADF9-AB0A7C0E18F1},
1215,State Highway,063,Jonesboro Rd,{34B9BD67-54EF-4F41-A7F2-B48D83B715A9},
1216,State Highway,199,Lawson Dr,{FF29B1A7-7E68-4E4C-A756-C4138249CCE2},
1217,State Highway,199,Lone Oak Rd,{34F912AF-159C-485A-B4DD-D6D68847EEF6},
1218,State Highway,199,Manchester Raleigh Rd,{EF1BEACE-DF7F-4405-9E5B-DB5D4B6B24DC},
1219,State Highway,199,Milladen Rd,{D92C3A86-085F-451E-9F59-B9F478A613DD},
1220,State Highway,199,Millarden Rd,{06173137-E8EC-45E6-AFFA-90AED4F61A86},
1221,State Highway,199,N 5th Ave,{B27C9B47-D72D-4D3E-BF99-79627B06D993},
1222,State Highway,199,N Depot St,{FFEA1102-EBC7-4503-ABC4-AA6FC418877E},
1223,State Highway,199,N Talbotton St,{1526BD87-2CFA-4FC7-8BC3-CFBF2D83BDED},
1224,State Highway,199,Perry St,{62652985-51CB-44FA-8D5E-E7181781F6B0},
1225,State Highway,199,S Court Sq,{B2BF6C82-8A64-43CB-B849-84B70E8AA45F},
1226,State Highway,199,S Depot St,{1665DE91-7767-4092-BF52-F77EC49D6BBF},
1227,State Highway,199,S Main St,{FF49B2D3-DFEF-4750-960A-96C358A87971},
1228,State Highway,199,S Talbotton St,{0F606557-E8B0-49E8-9FDC-6D8D311342A3},
1229,State Highway,199,Shiloh Warm Springs Rd,{1E2B9A6D-826E-4114-9806-C3DB8D297AF3},
1230,State Highway,199,State Route 109 (Spur),{E8E1FB9A-4110-4219-9427-70367542F564},
1231,State Highway,199,State Route 54,{2BD1B5E1-D5EC-4C50-A0DB-A2B4F369761D},
1232,State Highway,199,W Oak St,{F0FE7B65-C223-4ABD-A7F1-4E93278B9672},
1233,State Highway,199,Washington St,{F823D204-2311-4251-9642-7DF98ED81C9A},
1234,State Highway,199,Whitehouse Pkwy,{9C04F6BC-4810-49B9-9FB2-C938425581EF},
1235,State Highway,211, ,{DCB6113E-3339-4182-B657-235F087DEBB1},
1236,State Highway,211,State Route 186,{1816539A-55A0-4238-AEA3-86FA572199AC},
1237,State Highway,211,State Route 83,{0815DAE2-9B1B-4CC2-9B28-8A912A4F0B94},
1238,State Highway,217, ,{C03CCF80-379C-42B6-B7CE-0C39899F2AEE},
1239,State Highway,217,Access Rd,{A4611102-8199-4CEE-B165-7B0067B26009},
1240,State Highway,217,Broad St,{47A8E5B4-DDE1-4B84-B9D2-3BC07E843E02},
1241,State Highway,217,Brown Bridge Rd,{2AB4787A-2D73-47D0-8E85-1FAA86C39A2C},
1242,State Highway,217,Church St,{3473F6FF-7B89-4737-B7EC-36AFA01F7609},
1243,State Highway,217,Clark St SW,{4005789C-9745-4D76-9691-216AB5E7C627},
1244,State Highway,217,Elm St,{287F483A-B7FA-49D6-8877-35ACE2DEEF49},
1245,State Highway,217,Emory St,{F3446C62-A0EE-4631-BFA8-3CFAE3852713},
1246,State Highway,217,Jackson Rd,{420C58FD-12FD-4A36-AFD6-2B4F090B9195},
1247,State Highway,217,John R Williams Hwy,{81210BBE-5A56-4D5B-BCD6-C1853862F9BB},
1248,State Highway,217,Lovers Ln Rd,{B6B88188-47A0-4E3D-996E-FE56FB8FC089},
1249,State Highway,217,Monticello St,{AFB7DC88-36C5-4381-80C1-153F60511203},
1250,State Highway,217,Monticello St SW,{C5DAFCA5-6BA4-43FB-A456-FE2E40AC0FEE},
1251,State Highway,217,S Broad St,{EE99F5F7-C4F8-4751-987A-3BACB15D5FDE},
1252,State Highway,217,Salem Rd,{BCC74F8D-D072-4742-81EA-BDDDB4BB3331},
