OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
223,SA100266,Preserve at Johns Creek,Subdivision,11.551094,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2983.790088,503175.246547
224,SA100275,Preston Oaks,Subdivision,25.731469,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4611.559961,1119120.567862
225,SA100469,Quail Hollow Estates,Subdivision,72.63725,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8361.071253,3159859.770674
226,SA100287,Queensbury East,Subdivision,20.898355,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3942.481677,902504.400122
227,SA100518,"Regency at Johns Creek Walk, The",Mixed,11.128223,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2919.84457,529974.236454
228,SA100455,"Regency at Wellington, The",Subdivision,32.548347,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5828.689244,1417801.243919
229,SA100368,"Reserve at Wellington, The",Subdivision,28.904201,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5115.650139,1259071.583223
230,SA100355,River Farm,Subdivision,41.431207,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6137.751497,1804595.01847
231,SA100406,River Knoll,Subdivision,15.357143,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1991,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3570.594863,699783.511131
232,SA100356,River Trace,Subdivision,11.687188,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3265.612328,508927.71397
233,SA100280,Rivermont,Subdivision,113.638874,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),10077.699837,5010310.845652
234,SA100445,Rivermont Club,Subdivision,11.167714,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4549.329557,459213.401928
235,SA100504,Rivermont Village,Townhomes,21.862158,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4330.182733,952315.609537
236,SA100405,Riverwood,Subdivision,76.440839,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),12938.064596,3329637.416473
237,SA100440,Saddle Bridge,Subdivision,30.980215,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6415.231156,1349355.396286
238,SA100262,Saint Clair,Subdivision,40.887949,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,1991,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8501.418217,1781126.318117
239,SA100441,Spring Garden,Subdivision,2.982773,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1502.380305,130484.181378
240,SA100359,Spring Meadow Farms,Subdivision,43.907073,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6859.974995,1847725.623424
241,SA100291,Springfield,Townhomes,16.584324,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4601.202325,742298.02637
242,SA100500,St. Amour,Subdivision,5.37689,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2194.283086,234215.476543
243,SA100462,St. Andrews Apartments,Apartments,37.268738,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),7178.6903,1621950.247125
244,SA100360,St. Regis,Subdivision,35.219421,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5472.275167,1534100.186573
245,SA100361,Standard View,Subdivision,21.138882,Findley Oaks Elementary School,River Trail Middle School,Northview High School,1993,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4330.696918,920746.096768
246,SA100520,Stonegrove Overlook,Subdivision,16.991213,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,2012,,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5783.128175,740125.244157
247,SA100424,Stonehaven,Subdivision,39.886371,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),7406.419183,1737199.655713
248,SA100362,Surrey Park,Subdivision,23.019962,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4504.825579,1002699.538225
