OBJECTID,X,Y,Organization_Name,Study_Region,Street,City,ZIP,State,Data_Source,last_edited_date,GlobalID,Expenditures_2015_16,Attendance_2105_16
24,-84.391656,33.751862,Living Walls - The City Speaks,City of Atlanta,115 MARTIN LUTHER KING JR DR SW STE,ATLANTA,30303-3536,GA,Paper Survey,2018-02-08T21:22:28.000Z,{00FF4244-80F9-4D6E-83A8-32FA644080D4},104309,1000
25,-84.391656,33.751862,C4 Atlanta,City of Atlanta,115 MARTIN LUTHER KING JR DRIVE SW,ATLANTA,30303-3536,GA,Paper Survey,2018-02-08T21:22:28.000Z,{3D74A5F3-DD30-40AF-8AB7-3446D2E9609F},367280,20665
26,-84.549528,33.953303,Earl Smith Strand Theatre,Rest of 10-county Metro Atlanta Area,117 N Park Square,MARIETTA,30060,GA,Paper Survey,2018-02-08T21:22:28.000Z,{87C6F562-6B47-477F-94A0-575BBA5905F3},1157090,80000
27,-83.861737,33.596021,Covington Regional Ballet,Rest of 10-county Metro Atlanta Area,1169 Washington Street SW,Covington,30014,GA,DataArts,2018-02-08T21:22:28.000Z,{42622A72-9E26-4653-8D24-37179CCE32FD},683804,33555
28,-84.411746,33.785818,German Cultural Foundation,City of Atlanta,1170 HOWELL MILL ROAD,ATLANTA,30318-5566,GA,Paper Survey,2018-02-08T21:22:28.000Z,{068D888D-BA45-4AD8-96BD-8220821BA5B3},148634,400
29,-84.590151,33.480785,Compass Dance Academy,Rest of 10-county Metro Atlanta Area,118 PALMETTO RD STE A,TYRONE,30290-6804,GA,Paper Survey,2018-02-08T21:22:28.000Z,{6F6A71A5-1CCE-485E-BAB9-7F8B3ECB1DD6},120874,0
30,-84.586474,33.949293,Georgia Symphony Orchestra,Rest of 10-county Metro Atlanta Area,1171 Whitlock Ave NW,MARIETTA,30064,GA,DataArts,2018-02-08T21:22:29.000Z,{B0A7F504-8548-4455-82AB-BEFEAB730EB4},425485,17804
31,-84.383269,33.787164,Friends of Goethe,City of Atlanta,1197 PEACHTREE ST,ATLANTA,30361-3502,GA,Paper Survey,2018-02-08T21:22:29.000Z,{D605CE93-CE18-41CB-89CC-99A0CBF0FE74},563793,3137
32,-84.201844,34.074642,Johns Creek Symphony Orchestra,Rest of Fulton County,11950 JONES BRIDGE RD STE 115-187,JOHNS CREEK,30005-8911,GA,DataArts,2018-02-08T21:22:29.000Z,{028E3D82-4AC9-4F50-9361-ABE85678549A},101607,4400
33,-84.383269,33.787164,Alliance Francaise of Atlanta,City of Atlanta,1197 PEACHTREE ST NE STE 561,ATLANTA,30361-3509,GA,Paper Survey,2018-02-08T21:22:29.000Z,{18887A6C-55D5-4B19-803A-A26DE3ADA41B},839267,2300
34,-84.294342,34.019259,Chinese Community Center,Rest of Fulton County,120 CAMELLIA CT,ROSWELL,30076-2619,GA,Paper Survey,2018-02-08T21:22:29.000Z,{95405592-3EC3-471C-ABAF-465FDA3A3610},105052,0
35,-84.414224,33.786883,Theatre Du Reve,City of Atlanta,1200 Foster St NW,ATLANTA,30318,GA,Paper Survey,2018-02-08T21:22:29.000Z,{80A01BEC-6ABB-46A3-9F42-05C6921256AA},112242,664
36,-84.414224,33.786883,Drawchange,City of Atlanta,"1200 Foster St NW, W-219",Atlanta,30318,GA,DataArts,2018-02-08T21:22:29.000Z,{B0A683E2-CD79-41E9-910E-9867578AF9B1},17313,250
37,-84.414224,33.786883,gloATL,City of Atlanta,"1200 Foster Street, 17",Atlanta,30318,GA,Paper Survey,2018-02-08T21:22:29.000Z,{C2C2290B-43D0-4925-98AA-4F16A9D23441},204916,14000
38,-84.346494,33.773605,Atlanta Boy Choir,City of Atlanta,1215 S PONCE DE LEON AVE NE,ATLANTA,30306-4601,GA,Paper Survey,2018-02-08T21:22:29.000Z,{4FE5C2CA-E998-47CF-B679-B98D4A16F4E9},721672,12000
39,-84.38933,33.787848,Whole World Improv Theatre,City of Atlanta,1216 SPRING ST NW,ATLANTA,30309,GA,Paper Survey,2018-02-08T21:22:29.000Z,{AEC015F4-87C4-4BB2-B60C-60856DC4406B},522544,201000
40,-84.353047,33.522655,Historical Jonesboro-Clayton County Museum,Rest of 10-county Metro Atlanta Area,125 King Street,JONESBORO,30236,GA,Paper Survey,2018-02-08T21:22:29.000Z,{C918A05C-F94E-4DB5-B439-F5AB64E52B63},145115,0
41,-84.088749,34.033574,Handweavers Guild of America,Rest of 10-county Metro Atlanta Area,1255 BUFORD HWY,SUWANEE,30024-8421,GA,Paper Survey,2018-02-08T21:22:29.000Z,{9BB45166-64A3-4B9E-822B-D9CC6945646D},651315,1500
42,-84.560968,33.984144,Georgia Ballet,Rest of 10-county Metro Atlanta Area,1255 FIELD PKWY,MARIETTA,30066-5941,GA,DataArts,2018-02-08T21:22:29.000Z,{12F29B1E-22EB-4E4E-8CED-8F7BCE9DA84A},612467,2456
43,-84.420808,33.979024,Art Within,Rest of 10-county Metro Atlanta Area,1225 JOHNSON FERRY RD STE 230,MARIETTA,30068-2768,GA,Paper Survey,2018-02-08T21:22:29.000Z,{3A7C99FC-DDDE-44FF-B9E1-20E517DE85F3},250197,0
44,-84.429151,33.849251,Capitol City Opera Company,City of Atlanta,1266 W PACES FERRY RD NW STE 451,ATLANTA,30327-2306,GA,Paper Survey,2018-02-08T21:22:29.000Z,{53CB2D00-247E-4371-9A84-4D16BCC04924},145757,40000
45,-84.429151,33.849251,Atlanta St Patricks Parade,City of Atlanta,1266 WEST PACES FERRY RD STE 615,ATLANTA,30327-2306,GA,Paper Survey,2018-02-08T21:22:29.000Z,{65C31F67-2D8C-4118-BD56-50E637EDE3C0},48787,2000
46,-84.347027,33.758455,Alternate Roots,City of Atlanta,1270 Caroline St D120-353,Atlanta,30307,GA,Paper Survey,2018-02-08T21:22:29.000Z,{86E61925-CA08-40F6-8E65-14A25A496BB6},1160925,0
47,-83.987979,33.957398,Aurora Theatre,Rest of 10-county Metro Atlanta Area,128 EAST PIKE ST,LAWRENCEVILLE,30046-0000,GA,DataArts,2018-02-08T21:22:29.000Z,{66769C5E-1B67-446C-A7E9-FF9F55158616},2374559,77034
48,-84.38453,33.789637,Robert W Woodruff Arts Center,City of Atlanta,1280 PEACHTREE ST NE,ATLANTA,30309-3502,GA,DataArts,2018-02-08T21:22:29.000Z,{FB52C45D-7436-4917-95E2-0B176C30C732},95677066,1100000
49,-84.38453,33.789637,Atlanta Music Project,City of Atlanta,1280 PEACHTREE STREET NE SUITE 4074,ATLANTA,30309-3502,GA,Paper Survey,2018-02-08T21:22:29.000Z,{083A147E-9AD7-4C2A-9C8F-B1E204102C86},681836,5386
50,-84.517807,33.846759,India-American Cultural Association,Rest of 10-county Metro Atlanta Area,1281 COOPER LAKE RD SE,SMYRNA,30082-4720,GA,Paper Survey,2018-02-08T21:22:29.000Z,{C9BCBA23-CC87-4E76-A895-53258F6CC69C},308205,10800
51,-84.38635,33.842824,Atlanta Historical Society,City of Atlanta,130 W PACES FERRY RD NW,ATLANTA,30305-1380,GA,Paper Survey,2018-02-08T21:22:29.000Z,{1E7DA053-C4DC-4226-855E-C20022B9EC65},1007774,36000
52,-84.339209,34.098208,Milton Choral Association,Rest of Fulton County,13025 BIRMINGHAM HWY,ALPHARETTA,30004-7306,GA,Paper Survey,2018-02-08T21:22:29.000Z,{190D0D99-AEC9-4D4E-8494-F8F6DB4AEEB9},64198,0
