OBJECTID,NAME_R,YEAR_,STORIES,BUILDING_NO,CITY,USAGE_DM,HISTORIC,SHAPEarea,SHAPElen
58778864,Building,0,1, ,Y,Single Family,,1245.43735192502,142.545831064538
58778865,Building,0,1, ,Y,Single Family,,1985.9339139781,203.487221587916
58778869,Building,0,1, ,Y,Single Family,,3289.40415068814,284.893810569064
58778870,Building,0,1, ,Y,Single Family,,1863.97309671457,201.842285891279
58778872,Building,0,1, ,Y,Single Family,,2880.30403621217,261.659075410729
58778875,Building,0,1, ,Y,Single Family,,2005.35314532684,192.801230275208
58778876,Building,0,1, ,Y,Single Family,,1685.36652010969,176.924344693796
58778879,Building,0,1, ,Y,Single Family,,1357.32931887197,147.413233016006
58778881,Building,0,1, ,Y,Single Family,,1435.86069840433,178.336234107506
58778882,Building,0,1, ,Y,Single Family,,669.495025837071,104.030984954555
58778883,Building,0,1, ,Y,Single Family,,2622.4870373762,222.259749497207
58778884,Building,0,1, ,Y,Single Family,,117.78253979327,43.9541400466896
58778885,Building,0,1, ,Y,Single Family,,3378.93852886086,281.742042884261
58778886,Building,0,1, ,Y,Single Family,,1223.16913440943,157.18266579468
58778889,Building,0,1, ,Y,Single Family,,3162.03845552888,280.668113740437
58778890,Building,0,1, ,Y,Retail,,7840.24187186468,374.12613739825
58778891,Building,0,1, ,Y,Single Family,,2603.97141119925,229.552245005483
58778892,Building,0,1, ,Y,Single Family,,953.440763722979,124.791234341213
58778894,Building,0,1, ,Y,Single Family,,491.371930017978,91.924481549238
58778895,Building,0,1, ,Y,Single Family,,359.441282482627,86.8199849210926
58778897,Building,0,1, ,Y,Single Family,,2344.11462718915,227.584111877493
58778898,Building,0,1, ,Y,Single Family,,122.188122772363,44.641515408785
58778901,Building,0,1, ,Y,Single Family,,1631.8866868899,168.102692298697
58778903,Building,0,1, ,Y,Single Family,,1715.89160004342,182.017128086018
58778904,Building,0,1, ,Y,Single Family,,1152.4016099722,154.109195001514
58778905,Building,1940,1, ,Y,Single Family,,1458.37241645615,176.802703447138
58778906,Building,0,1, ,Y,Single Family,,1298.19461937207,157.183974440088
58778908,Building,0,1, ,Y,Single Family,,1251.37527777955,151.209398359782
