X,Y,OBJECTID,Name,Address,Type,City,Zip,GlobalID,last_edited_date
-84.362709620422606,34.015436709984854,497,Historic Roswell Square,617 Atlanta St.,Performance,Roswell,30075,{89E2AF43-9A55-42FA-ACED-876A1FCB841E},
-84.362709620422606,34.015436709984854,498,Roswell Visitors Center,617 Atlanta St.,Other,Roswell,30075,{3F3C234A-2CAF-4F28-A99B-0FA8201131C0},
-84.180246625125591,33.868351926567563,499,Korean First Presbyterian Church,6175 Lawrenceville Hwy.,Performance,Tucker,30084,{DD52928E-62CA-40EF-BD36-0237F4C36AFA},
-84.414064387320437,34.270106035480026,500,VantagePoint Studios & Fine Art Gallery,621 Talmadge Lane,Gallery,Canton,30114,{84168803-8363-4A0D-9BFF-3A5CFCF13B2C},
-84.378936320796015,33.92666116651241,501,Act 3 Playhouse,6285 Roswell Rd. NE,Performance,Atlanta,30328,{36470DC0-E3DB-47B8-BE4B-62A477ABD62A},
-84.175703709423246,34.043113785911075,502,Johns Creek Art Center (formerly Ocee Arts),6290 Abbotts Bridge Road,Performance,Johns Creek,30097,{CDDDEC92-F753-4A4E-B104-806FC1E4749D},
-84.38600462086066,33.755457988007826,503,Youth Art Connection Gallery,63 Auburn Ave.,Gallery,Atlanta,30303,{48351CB6-8968-46E1-80FB-8306F229C680},
-84.352664639912874,33.771631818321964,504,Gems of Africa Gallery,630 N. Highland Ave.,Gallery,Atlanta,30306,{470D3E3D-3E87-44ED-A21E-079ADF8D5E01},
-84.341984492876946,34.033612156115524,505,"Rosewater Theatre, The",633 Holcomb Bridge Rd.,Performance,Roswell,30076,{9514B74D-C966-4453-8A07-1E6B569A4456},
-84.34201086156996,34.033658301947021,506,Village Playhouses of Roswell,633 Holcomb Bridge Road,Performance,Roswell,0,{E23EE9F4-3891-4636-AABB-9C2802710F68},
-84.387542088239726,33.771763713179425,507,All Saints' Episcopal Church,634 W. Peachtree St. NW,Performance,Atlanta,30308,{79A444EC-0670-494B-AD8C-463A78619286},
-84.429508973264731,33.905844311883648,508,Crowne Plaza Hotel Atlanta - Perimeter Northwest,6345 Powers Ferry Rd. NW,Performance,Atlanta,30339,{1CA95F6F-05E9-4B6C-BB14-1C14458DC90D},
-84.35266327590432,33.771820000823126,509,Young Blood Gallery and Boutique,636 North Highland Ave.,Gallery,Atlanta,30306,{882D227D-0EC0-47B2-B695-D55066615F2D},
-84.426078992629371,33.923864555665254,510,Arts Sandy Springs,6365 River Chase Circle,Other,Sandy Springs,30328,{9CED35F4-F057-46BF-9476-7AAE254917C3},
-84.389096731231476,33.773741691690304,511,Apache Cafe,64 3rd St. NW,Performance,Atlanta,30308,{E3F6EB3E-AFDE-4E54-95DF-9AFF8EC99094},
-84.090517983749692,33.99127446501123,512,Jacqueline Casey Hudgens Center for the Arts - Black Box,6400 Sugarloaf Parkway,Performance,Duluth,30097,{A0E4D5B9-3CCC-4AC0-9F08-D74FEE5D8A5F},
-84.090517983749692,33.99127446501123,513,Jacqueline Casey Hudgens Center for the Arts - Grand Hall,6400 Sugarloaf Parkway,Performance,Duluth,30097,{D0F83B9F-2CBF-4535-B35D-E6348E1C3CCD},
-84.090517983749692,33.99127446501123,514,Gwinnett Center (Arena),6400 Sugarloaf Pkwy.,Performance,Duluth,30097,{B8BE262C-3AF0-4A7D-AA55-96C840CC78A1},
-84.090517983749692,33.99127446501123,515,Gwinnett Performing Arts Center,6400 Sugarloaf Pkwy.,Performance,Duluth,30097,{49A042CB-B37B-45CC-9E39-66816E17C80E},
-84.35266145793662,33.772070909311878,516,"Highland Inn Ballroom Lounge, The",644 North Highland Ave. NE,Performance,Atlanta,30306,{8CE6C07E-1533-45DB-A16F-B9F0299FB83D},
-84.256009027647735,33.79568279003599,517,Scottdale-Tobie Grant Library,644 Parkdale Dr.,Gallery,Scottdale,30079,{84DE75A9-058C-413D-8FF3-E18EBF7ACFAF},
-84.597844893380085,33.940122977408862,518,Cobb County Youth Museum,649 Cheatham Hill Dr.,Gallery,Marrietta,30064,{B6532539-506C-4554-A9AE-AA16939F27E9},
-84.389391826339022,33.750705850152052,519,Georgia Railroad Freight Depot,65 Martin Luther King Jr. Dr.,Performance,Atlanta,30303,{C39C7995-128F-4C05-947F-62A7D0172246},
-84.365324048143677,33.828851586407552,520,Matre Gallery,650 Miami Circle,Gallery,Atlanta,30324,{9CA8F06B-8ED0-4038-B066-3ECFF75F323C},
-84.377475614676229,33.9304605992291,521,"Dorothy C. Benson Complex, The",6500 Vernon Woods Dr.,Other,Sandy Springs,30328,{759756EF-6006-4954-BA16-7CDB861B04F1},
-84.586901166348625,34.122483101951516,522,Towne Lake Arts Center,6576 Commerce Parkway,Gallery / Performance,Woodstock,30189,{C72688EB-0E26-406B-8406-4B4F64098B91},
-84.499115720427213,34.238843142994689,523,Rock Barn,658 Marietta Hwy.,Performance,Canton,30114,{C27C0BC6-30F9-4B03-B790-FFFE4451D797},
-84.366386823405222,33.756744482722652,524,Archetype Gallery,659 Auburn Ave.,Gallery,Atlanta,30312,{C6C0B78D-797F-49A0-AB75-693706D971C6},
-84.366247755403677,33.756902337700879,525,ABV Gallery,659 Auburn Ave.,Gallery,Atlanta,0,{3D636763-FC72-46BB-9A77-6D3AE33B66DE},
-84.366386823405222,33.756744482722652,526,Jack Art Gallery,659 Auburn Ave.,Gallery,Atlanta,30312,{A110A698-6A92-457A-843B-1BB8362370CA},
-84.366386823405222,33.756744482722652,527,Studioplex,659 Auburn Ave.,Gallery,Atlanta,30312,{7403280D-8A82-4007-AACC-F3533AFCA769},
-84.385028272338332,33.77259684293913,528,Churchill Grounds,660 Peachtree St. NE,Performance,Atlanta,30308,{4FF23AF4-D43A-41D9-9007-F7F0E04A94AB},
-84.385028272338332,33.77259684293913,529,Fox Theatre,660 Peachtree St. NE,Performance,Atlanta,30308,{51F183DF-1D6B-4EDE-A257-E046A6B870DD},
-84.353688644292845,33.936596735252799,530,"Art Institute of Atlanta, The",6600 Peachtree Dunwoody Rd.,Gallery,Atlanta,30328,{8629BEA7-93CB-4F94-A72F-9647835AA6C3},
-84.408668057692282,33.782886617082752,531,Get This! Gallery,662 11th St. NW,Gallery,Atlanta,30318,{F5DE15A4-3F57-4A44-8B87-E107ED223A6E},
-84.40870620536603,33.782886861448354,532,Saltworks Gallery,664 11th St. NW,Gallery,Atlanta,30318,{8B0C89F0-3565-45D0-BB6C-59FA3B4698A5},
-84.750124145056276,33.750472140863536,533,"Old Douglasville Courthouse, The",6754 W. Broad St.,Performance,Douglasville,30134,{26298464-D3F0-4192-AFF7-C2C33FF01506},
-84.109285165480486,33.712352353289262,534,Lithonia-Davidson Library,6821 Church St.,Gallery,Lithonia,30058,{B51FFEEF-6244-4DEF-B4D2-F686F25FA77B},
-84.357481367172738,33.773456753221545,535,Kibbee Gallery,688 Linwood Ave. NE,Gallery,Atlanta,30306,{C3AECB8C-F15B-4CD1-9464-D5A288E33F56},
-84.365353688193736,33.759593041653694,536,Stuart McClean Gallery,684 John Wesley Dobbs Ave.,Gallery,Atlanta,0,{D5A25C04-6E30-4D51-83FD-25FA6095CB13},
-84.364792453880213,33.829206235259555,537,Anne Irwin Fine Art,690 Miami Circle,Gallery,Atlanta,30324,{9C470F61-3506-4ADB-91E7-6557376BD02D},
-84.294284432415637,34.078044776281196,538,Alpharetta First United Methodist Church,69 North Main St.,Performance,Alpharetta,30004,{CE571A5C-15CC-4692-AAED-5ADB5F90F597},
-84.602344072172841,33.564748244883937,539,Georgia Renaissance Festival,6905 Virlyn B. Smith Rd.,Performance,Fairburn,30213,{84734D5B-FDCE-44BA-B088-7159AF05F0C8},
-84.364197894471914,33.770996815927965,540,"Masquerade, The",695 North Ave. NE,Performance,Atlanta,30308,{98B3E8CD-7557-4CBD-8DAC-C299A1B8597D},
-84.372966125729207,33.774132949363356,541,Beep Beep Gallery,696 Charles Allen Dr.,Gallery,Atlanta,30308,{B25CBE76-EC54-4AB4-A1C3-21C54C5143F2},
-84.176819312063046,34.069433698806193,542,Johns Creek Baptist Church,6910 McGinnis Ferry Road,Performance,Alpharetta,30005,{0B1C17E9-AE33-4543-8296-B9563A999E75},
-84.363872640011522,33.773971270522409,543,Paris on Ponce,716 Ponce de Leon Place NE,Performance,Atlanta,30306,{E3938186-C04F-4779-8F71-91D56FDA2394},
