OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_4__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp4_HousTranspCosts_Pct_Income,Tp4_HousingCosts_Pct_Income,Tp4_TranspCosts_Pct_Income,Tp4_AnnualVehMilesTraveled
158,13067030223,302.23,ARC 10,65453,61.54,{F267F435-7689-41C0-BBAA-1C1C29CFBD69},661.2,50.75,30.99,19.76,17480
159,13067031312,313.12,ARC 10,61176,33.95,{87F49D95-13CB-45D5-AEE7-72FEB0DC9D8D},689.6,50.46,30.71,19.76,17645
160,13067031313,313.13,ARC 10,107841,24.5,{5E53F0B3-23BD-418B-9C41-4EB3BC4F0894},975,56.19,35.82,20.36,17726
161,13067031309,313.09,ARC 10,52714,19.51,{E586D4B8-6055-43E7-87E7-546BB3932311},307.1,50.86,30.36,20.5,18247
162,13117130101,1301.01,ARC 20,80040,0,{E9F70F50-9535-4D55-88EF-13CA8631F0A6},148.6,60.55,36.48,24.07,21897
163,13117130104,1301.04,ARC 20,71382,0,{F2AD7870-A6A6-498B-9DE8-02912A77B91E},147.6,59.7,35.46,24.25,22088
164,13117130506,1305.06,ARC 20,70313,0,{864F5755-7D8D-4CA3-930D-3E4010DA4028},309,54.49,31.97,22.52,20613
165,13067031509,315.09,ARC 10,68125,3.71,{EE376BF9-07B4-4843-A1E5-B6F523098A23},435.1,55.04,32.19,22.84,20629
166,13067031113,311.13,ARC 10,29523,142.87,{5767DD1F-3717-496C-8CB0-606D381E39DF},-757.5,39.67,25.5,14.18,12636
167,13067031114,311.14,ARC 10,41880,222.54,{3E1EBF8C-4BAC-450D-ACE4-5D44FCAD74DA},1146.4,45.8,32.55,13.25,11566
168,13067030345,303.45,ARC 10,50553,119.43,{1820C4EE-3DA1-40DD-98DF-AAF1E349796A},491.8,44.46,30.74,13.72,11754
169,13067030344,303.44,ARC 10,43037,186.34,{263DB156-90EE-40AA-A5EC-5BE548995795},-662.2,39.09,25.61,13.48,11711
170,13067030411,304.11,ARC 10,27417,228.56,{5757D2B7-74EA-4A87-A9A7-7FBEB376D302},-593.8,39.59,26.25,13.34,11817
171,13067030412,304.12,ARC 10,37917,214,{CC06AA57-3A34-45AF-85C4-E8560529A4D6},-1303.8,46.22,32.09,14.13,12368
172,13067030414,304.14,ARC 10,27681,211,{33B1E1D3-012D-472A-ACE4-6ADAC12BB0BB},-659,42.26,28.75,13.51,11392
173,13067030413,304.13,ARC 10,34180,277.36,{2C23CF72-DBED-4D3C-8F01-1AEB06D015F2},-1313.3,43.58,30.85,12.73,11035
174,13067030239,302.39,ARC 10,107622,5.67,{AC1AD8BB-D70A-4048-A6ED-3C2AF5588AF4},228.4,63.04,39.69,23.34,20693
175,13067030238,302.38,ARC 10,101607,22.82,{363E5F30-37F8-4823-A9D6-B50BFB172BFE},350.9,59.9,36.5,23.4,21078
176,13067030236,302.36,ARC 10,130867,39.06,{62E68BF2-7548-4F6A-8B34-8B641813589B},370.5,62.47,39.3,23.17,20947
177,13067030407,304.07,ARC 10,67138,47.1,{BD424A8C-AA74-4B06-9570-29C79CE1CEF7},-70.6,52.5,33.37,19.13,16667
178,13067030408,304.08,ARC 10,65682,83.54,{FCD65E70-2F03-4245-9E3D-F62397765E44},7.8,52.16,34.68,17.48,15065
179,13067030410,304.10,ARC 10,43352,79.65,{95397870-5D6F-468B-B137-93C3CAAD629A},-34.1,47.52,30.39,17.13,14682
180,13067030409,304.09,ARC 10,110494,49.16,{9D966016-4661-4703-A38D-334043C423E3},198.6,69.66,48.93,20.73,17696
181,13067030343,303.43,ARC 10,114712,50.4,{481E4EFB-0954-45EA-BFE8-EDF5A840441E},71.7,64.95,43.3,21.65,18566
182,13067030342,303.42,ARC 10,113075,23.47,{411CEE5E-1F6F-47E7-898C-8D08200DA0AA},62.1,65.85,43.64,22.21,18950
183,13067030340,303.40,ARC 10,130263,19.14,{F2006712-3C1E-4FBE-A6A5-F92171E38BFF},-179.4,60.24,38.15,22.1,18863
