X,Y,OBJECTID,EXIT_,INTERSTATE,GlobalID,last_edited_date
-84.296217045969314,33.611719013650962,111,5,I675,{D8625902-83B0-4178-B7C7-6C54D5778D5F},
-84.473628125269528,33.620437337520393,112,69,I85,{86666F39-0137-447D-BE3D-8B5B61B717F1},
-84.486722600011049,33.615209471773021,113,68,I85,{EF813FCD-36B3-4C6E-84C3-22F928A45F4F},
-84.338218231448963,33.918029006509073,114,29,I285,{F1E27EF8-B9B3-48C4-8F58-57BD7B6F7C97},
-84.286303267419939,33.913002552258362,115,31A/B,I285,{16397F5C-75FA-4865-8051-3BEAE961B38A},
-84.263754567862492,33.895367821950842,116,33A/B,I285,{A8182CE1-56D2-4CF3-AFE5-A97CF0319BAC},
-84.275699693616033,33.903847941008756,117,32,I285,{41A83886-BA44-40C8-B585-2DDB994E7C4C},
-84.513441617979467,33.584518789313968,118,66,I85,{4776C4BD-5F24-43A0-B86D-655E43DD107B},
-84.53291944057348,33.567276581446023,119,64,I85,{183D6A49-72FC-40B5-842A-E44EC90521E1},
-84.341378627514658,33.576664301928496,120,233,I75,{1515325C-C5BB-4778-BFF1-2A887D79B781},
-84.378188421699633,33.585021304941186,121,235,I75,{5ABA00DA-37DA-4AF1-80DB-A8ED9A7B490C},
-84.567458753237389,34.0102160146036,122,269,I75,{A504E0F6-8571-4A93-9978-7899DEC1135A},
-84.518650721421722,33.961611483178231,123,265,I75,{B0B9674E-5857-4BFC-AD40-3F95AFF655E5},
-84.503315448734114,33.940925611909229,124,263,I75,{917244DB-9499-4687-841D-D6D2E6BED2AD},
-84.653780073163091,34.07944719243396,125,277,I75,{1B517D77-71CA-45C2-BE58-8ADD4CF91054},
-84.676598321912437,34.080643983711816,126,278,I75,{A432BD0B-E56C-4950-846F-603F0E7207E5},
-84.593672192013557,34.054282037000696,127,273,I75,{BDAFFAB3-90EF-4465-B811-25B9F577DBAC},
-84.577082537258974,34.033484130151166,128,271,I75,{9A4FC3B4-A909-4533-BA9B-92E8298D40F1},
-84.319496166178695,33.564400017193762,129,231,I75,{5BC6C171-EF0A-4865-BD7D-1153AD11EBB9},
-84.27776346831449,33.577653569199171,130,2,I675,{972E1AD4-6DC6-499B-8D39-F2C36B3621B7},
-84.577455286631363,33.546227949404816,131,61,I85,{5B344AE6-2724-4D50-BFF2-A2D1075B0664},
-84.485357999768041,33.922517068415132,132,261,I75,{7025E3CF-7C7F-455B-9D6B-1C75B2FE809D},
-84.431993593027187,33.906391990258271,133,22,I285,{00CB2E50-688C-45DF-9354-B71E4458F8D6},
-84.40666511014912,33.915945131935977,134,24,I285,{9BECE6E6-6CE3-4ABF-B9D8-4FEEBC15ACDA},
-84.379076087961195,33.912225878428707,135,25,I285,{C52F507F-D442-4E98-920C-0A443C2694BC},
-84.361789638266444,33.910214658960072,136,26,I285,{3D4D1B12-1D56-4C9A-A70E-ED1EE39CD8D5},
