OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
100,130602,13117130602,1306.02,ARC 20,2015-05-21T19:06:00.000Z,1701,1521,89.4,180,10.6,9.7,14,1040,853,1227,294,{807428AD-E0DD-4386-A559-070BF063674A},810.9,61.1,50.1,661,187,11,80.7,19.3
101,130508,13117130508,1305.08,ARC 20,2015-05-21T19:06:00.000Z,1821,1614,88.6,207,11.4,10.2,0,1645,891,1475,139,{708D58AB-39E4-40BE-BAEB-338184BF3EC9},491.8,90.3,48.9,875,55,3,91.4,8.6
102,130507,13117130507,1305.07,ARC 20,2015-05-21T19:06:00.000Z,1223,954,78,269,22,16.3,19.4,972,375,817,137,{A16B275D-AB89-4EEC-B380-869AC8D3F371},80,79.5,30.7,623,225,18.4,85.6,14.4
103,130409,13117130409,1304.09,ARC 20,2015-05-21T19:06:00.000Z,981,782,79.7,199,20.3,16.5,16,659,295,588,194,{B9A745D3-C9AA-42A5-A821-96809E64A05E},201.7,67.2,30.1,508,178,18.1,75.2,24.8
104,030218,13067030218,302.18,ARC 10,2015-05-21T19:06:00.000Z,1730,1697,98.1,33,1.9,2.1,0,1654,737,1538,159,{CEFBC4CC-1A84-4C04-AACD-284BE4A63628},455.4,95.6,42.6,781,212,12.3,90.6,9.4
105,030219,13067030219,302.19,ARC 10,2015-05-21T19:06:00.000Z,3154,3003,95.2,151,4.8,1.5,0,3038,1174,2890,113,{F4E02905-3395-47E5-A6CD-645447FF00AF},572.9,96.3,37.2,1744,236,7.5,96.2,3.8
106,030235,13067030235,302.35,ARC 10,2015-05-21T19:06:00.000Z,1703,1554,91.3,149,8.7,1.8,0,1658,377,1412,142,{FBFC7415-F614-4BBC-A2ED-E55778EF9BD8},120.8,97.4,22.1,1102,224,13.2,90.9,9.1
107,030234,13067030234,302.34,ARC 10,2015-05-21T19:06:00.000Z,1934,1848,95.6,86,4.4,2.6,22.3,1904,725,1705,143,{E77A1CCE-D568-4448-A0AF-F5EF067E1E00},376.7,98.4,37.5,986,223,11.5,92.3,7.7
108,030233,13067030233,302.33,ARC 10,2015-05-21T19:06:00.000Z,1533,1492,97.3,41,2.7,0,0,1528,148,1425,67,{BC61F227-9800-4ED8-A866-ED28EFB93268},-1.1,99.7,9.7,1160,225,14.7,95.5,4.5
109,030337,13067030337,303.37,ARC 10,2015-05-21T19:06:00.000Z,1735,1646,94.9,89,5.1,2.4,0,1548,68,1517,129,{C647BB2D-40F9-4ACB-8340-CCFF42B39AE1},6.1,89.2,3.9,838,829,47.8,92.2,7.8
110,030334,13067030334,303.34,ARC 10,2015-05-21T19:06:00.000Z,1282,1204,93.9,78,6.1,2,0,1192,32,1081,123,{B1BFFC76-8C17-4807-A64B-D8C31B96DBCD},-140,93,2.5,742,508,39.6,89.8,10.2
111,031111,13067031111,311.11,ARC 10,2015-05-21T19:06:00.000Z,1936,1727,89.2,209,10.8,7,12.7,492,548,1178,549,{A4CF4A79-8F07-4D5A-AB60-D4CEEFCFBBC0},-353.8,25.4,28.3,1071,317,16.4,68.2,31.8
112,031110,13067031110,311.10,ARC 10,2015-05-21T19:06:00.000Z,1492,1443,96.7,49,3.3,0,3.7,1087,313,889,554,{746ACAED-1346-48E4-8036-DB798D8C908D},-166,72.9,21,60,1119,75,61.6,38.4
113,030405,13067030405,304.05,ARC 10,2015-05-21T19:06:00.000Z,2999,2888,96.3,111,3.7,2.3,1.5,1349,156,1378,1510,{8D0E3960-F659-4E8E-BE44-77383975874B},-74,45,5.2,1024,1819,60.7,47.7,52.3
114,031101,13067031101,311.01,ARC 10,2015-05-21T19:06:00.000Z,2126,1617,76.1,509,23.9,0,22,1136,85,746,871,{3639263F-23C0-49DC-AFF5-0A5B88DF8868},34.6,53.4,4,330,1711,80.5,46.1,53.9
115,130305,13117130305,1303.05,ARC 20,2015-05-21T19:06:00.000Z,1512,1300,86,212,14,14.9,0,1504,954,1212,88,{333E050A-EFDF-4120-8BE8-930744793101},610.3,99.5,63.1,549,9,0.6,93.2,6.8
