OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
102,13117130507,1305.07,ARC 20,2015-05-19T14:22:24.000Z,40.8,71765,111,{221AB433-70DA-46C7-91C0-A881EB0F58C3},80,4.67
103,13117130409,1304.09,ARC 20,2015-05-19T14:22:24.000Z,25.6,60962,185,{E4D84B76-2018-4390-9137-9037DFF931ED},201.7,7.33
104,13067030218,302.18,ARC 10,2015-05-19T14:22:24.000Z,50.3,114718,284,{2C2CFF02-EE15-429E-8090-A6D960B790D5},455.4,5.95
105,13067030219,302.19,ARC 10,2015-05-19T14:22:24.000Z,50.4,118279,465,{74BE0314-76EA-43EE-BC14-5EFE5632A866},572.9,4.77
106,13067030235,302.35,ARC 10,2015-05-19T14:22:24.000Z,47.8,98782,227,{28471152-C805-433B-96E5-C6633E5F92AB},120.8,4.55
107,13067030234,302.34,ARC 10,2015-05-19T14:22:24.000Z,43.2,96625,295,{14D6233F-FE45-4D2A-949F-C7DDA65F3EC2},376.7,5.21
108,13067030233,302.33,ARC 10,2015-05-19T14:22:24.000Z,49.4,97778,238,{ABD2E16F-D78F-4FF1-A165-FA86523398A6},-1.1,5.57
109,13067030337,303.37,ARC 10,2015-05-19T14:22:24.000Z,69.6,125556,254,{25E72FA7-CA0F-4534-9855-DC5D44F4CB3E},6.1,5.26
110,13067030334,303.34,ARC 10,2015-05-19T14:22:24.000Z,65.9,96214,156,{DADDA1E9-060C-4D02-8312-87BBD8306699},-140,4.81
111,13067031111,311.11,ARC 10,2015-05-19T14:22:24.000Z,60.4,78706,158,{CCC3CD20-856B-4983-893C-5CF71F6C4E2A},-353.8,5.43
112,13067031110,311.10,ARC 10,2015-05-19T14:22:24.000Z,34,56472,269,{2C8B5AD7-EE83-4592-BA41-C30152A646C2},-166,9.39
113,13067030405,304.05,ARC 10,2015-05-19T14:22:24.000Z,29.6,39492,469,{3D2ADD33-69A3-45CF-988E-2756AE9213CD},-74,8.12
114,13067031101,311.01,ARC 10,2015-05-19T14:22:24.000Z,23.9,41907,512,{EDD3CB64-FA40-469D-99CD-4215E13DA045},34.6,10.36
115,13117130305,1303.05,ARC 20,2015-05-19T14:22:24.000Z,46.5,94188,486,{A610CF51-CFE9-4F90-AF92-CD79506BB3F1},610.3,10.92
116,13117130301,1303.01,ARC 20,2015-05-19T14:22:24.000Z,35.6,66842,360,{2E98AA50-E017-4309-BEE0-6C40CD9792D1},240.6,7.58
117,13117130405,1304.05,ARC 20,2015-05-19T14:22:24.000Z,38.9,81048,395,{78C917CE-0E09-452C-B267-0D4150732619},542.1,9.78
118,13117130504,1305.04,ARC 20,2015-05-19T14:22:24.000Z,32.3,66572,225,{3F9BB5DC-5FD0-4394-A785-2935B9F2AB1A},64.7,6.27
119,13117130505,1305.05,ARC 20,2015-05-19T14:22:24.000Z,32.8,74000,132,{99786637-9DD4-459C-B9D8-4A5504261B3A},74.6,4.76
120,13117130503,1305.03,ARC 20,2015-05-19T14:22:24.000Z,43.4,82670,137,{06577A94-59CE-4D76-86C8-9C786D301B3C},70.7,5.81
121,13117130102,1301.02,ARC 20,2015-05-19T14:22:24.000Z,30,59929,158,{C836BB1A-F1E7-4445-8CC7-68BC375DC595},207.4,6.37
122,13117130103,1301.03,ARC 20,2015-05-19T14:22:24.000Z,17.2,53941,315,{B667944D-73CC-429B-81D5-0ACDEB463408},190.1,8.03
123,13117130303,1303.03,ARC 20,2015-05-19T14:22:24.000Z,29.1,85750,238,{EB4E303B-5267-45E9-BDF3-7A9588B5A122},111.4,6.93
124,13117130201,1302.01,ARC 20,2015-05-19T14:22:24.000Z,34,82137,458,{61F78D38-304F-458A-80B5-578CCA5DDF78},221.6,9.69
125,13067030232,302.32,ARC 10,2015-05-19T14:22:24.000Z,44.2,89649,356,{2A8E4CDE-1C05-4159-9BB6-C2F0E4BF160A},231.8,6.18
126,13067030222,302.22,ARC 10,2015-05-19T14:22:24.000Z,48,73438,276,{86D4CDBD-823A-4913-B4AF-68CFE38F3C5C},-31.1,4.61
127,13067031118,311.18,ARC 10,2015-05-19T14:22:24.000Z,51.7,67149,478,{1153A9BC-FCF0-4574-8908-A43D8B45995D},133,8.75
128,13067031117,311.17,ARC 10,2015-05-19T14:22:24.000Z,60.6,110870,336,{0427A253-AEEB-4193-A913-4EAAA04BE4BD},-182.5,6.95
129,13067031507,315.07,ARC 10,2015-05-19T14:22:24.000Z,25.9,44830,221,{232F3983-1F5E-4815-90AB-0D7E398F3D23},-124.7,6.62
130,13067031004,310.04,ARC 10,2015-05-19T14:22:24.000Z,8.6,38137,657,{1C1B3C8C-2FE0-4D13-B86C-EAC2EDDC75F7},-449.4,9.75
131,13067030103,301.03,ARC 10,2015-05-19T14:22:24.000Z,38.5,71569,677,{1EE35820-9D5F-445F-AC81-1D8BBFB50C78},498.9,7.48
132,13067031404,314.04,ARC 10,2015-05-19T14:22:24.000Z,34.4,63426,390,{0E11DD2D-385E-4416-BD35-170E6A601738},117.9,7.02
133,13067031306,313.06,ARC 10,2015-05-19T14:22:24.000Z,19.5,47992,282,{856C00B7-5B4A-4E2E-9C4F-EBBB1FD6D7CA},107.7,7.51
134,13067030101,301.01,ARC 10,2015-05-19T14:22:24.000Z,22,73603,405,{727026E4-6503-470A-BE0B-5F5DC261C745},100.7,5.73
135,13067030104,301.04,ARC 10,2015-05-19T14:22:24.000Z,27,51140,314,{358192CD-8309-4574-8E6B-6D79E6D4B62C},150.7,8.44
136,13117130613,1306.13,ARC 20,2015-05-19T14:22:24.000Z,49,95217,176,{F505C61A-D89C-46AB-B2AF-BB6ADE3DFAB2},474.2,7.79
137,13117130408,1304.08,ARC 20,2015-05-19T14:22:24.000Z,27.7,53333,330,{34590DBD-F421-4AFC-9B4D-4131AD2A076F},320.7,9.15
138,13117130612,1306.12,ARC 20,2015-05-19T14:22:24.000Z,60.8,141802,327,{C8248688-B4FE-4904-AB1B-A87FD725CF24},734.3,5.82
139,13117130608,1306.08,ARC 20,2015-05-19T14:22:24.000Z,64.4,124531,350,{642E9934-5546-441A-9AAC-6A60042F7469},972.4,7.61
140,13117130307,1303.07,ARC 20,2015-05-19T14:22:24.000Z,36.3,85833,254,{F44ECF77-A7BA-4D2E-B7D7-53F29676E3D6},246,7.73
141,13117130302,1303.02,ARC 20,2015-05-19T14:22:24.000Z,50.8,99464,363,{4F9DC0A7-FA87-4A9B-8634-D2731E4EE710},482.6,7.63
142,13117130304,1303.04,ARC 20,2015-05-19T14:22:24.000Z,39.9,103438,205,{41153E25-4021-4F15-A1CA-A2ADDA595621},138.3,5.42
143,13117130404,1304.04,ARC 20,2015-05-19T14:22:24.000Z,55.6,102384,439,{77C3901C-795D-4710-949E-8A4606A8AFA0},1065.2,11.22
144,13117130306,1303.06,ARC 20,2015-05-19T14:22:24.000Z,46.8,103947,220,{D461A9F1-BB1E-4D03-A0B8-6F7917F8D054},544.7,5.37
145,13117130601,1306.01,ARC 20,2015-05-19T14:22:24.000Z,55.5,85497,325,{135A82EB-1610-4FB5-9860-932E92D85772},281.9,9.36
146,13117130510,1305.10,ARC 20,2015-05-19T14:22:24.000Z,38.8,99531,435,{AEF40947-76B1-41C8-89FD-6C577A6A22BD},473.7,7.61
147,13117130406,1304.06,ARC 20,2015-05-19T14:22:24.000Z,43.3,70261,542,{B7FF6172-A779-43E7-84E9-2866ADBB8005},1310,10.41
148,13117130410,1304.10,ARC 20,2015-05-19T14:22:24.000Z,32.9,46816,314,{A405FB6F-0167-4968-A01B-5E40548D18A0},703.1,7.82
149,13117130203,1302.03,ARC 20,2015-05-19T14:22:24.000Z,20.1,74100,309,{D5EF2832-780F-42F7-AC0C-7144DBB22C22},91.5,6.54
