OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
101,13117130508,1305.08,ARC 20,2015-05-19T13:59:09.000Z,56.8,104912,4.5,540,493,598,654,702,274,{57DC7D0C-E082-4C1B-B225-2AF23E60CB07},491.8,60.9
102,13117130507,1305.07,ARC 20,2015-05-19T13:59:09.000Z,40.8,71765,3.8,146,133,163,180,188,73,{A2BB4455-F041-4DEE-98E3-72EE7C47C72F},80,19.2
103,13117130409,1304.09,ARC 20,2015-05-19T13:59:09.000Z,25.6,60962,3.5,4177,3968,5036,5519,5921,2445,{DBB75686-0F1A-48AA-8D19-E56850418639},201.7,698.6
104,13067030218,302.18,ARC 10,2015-05-19T13:59:09.000Z,50.3,114718,3.5,1002,825,1210,1425,1603,1019,{DC30D27B-CF90-4E1C-A123-DA70E7BDB14A},455.4,291.1
105,13067030219,302.19,ARC 10,2015-05-19T13:59:09.000Z,50.4,118279,7.2,2141,1889,2441,2773,3003,1402,{DD6FB662-1113-439E-8AC4-399E9F07F0E6},572.9,194.7
106,13067030235,302.35,ARC 10,2015-05-19T13:59:09.000Z,47.8,98782,4.8,981,881,1098,1226,1340,570,{84ECD14D-7350-4EA3-9C48-AC94C31BAF44},120.8,118.8
107,13067030234,302.34,ARC 10,2015-05-19T13:59:09.000Z,43.2,96625,4.6,747,646,853,981,1081,561,{1C9CF1EA-A106-4AF5-98D2-DC5B51BAB7D4},376.7,122
108,13067030233,302.33,ARC 10,2015-05-19T13:59:09.000Z,49.4,97778,2.7,718,649,795,881,936,380,{6A43126F-B295-4F74-A573-0B7E2B04710A},-1.1,140.7
109,13067030337,303.37,ARC 10,2015-05-19T13:59:09.000Z,69.6,125556,1.8,1516,1472,1559,1616,1639,214,{C501BC78-4CAF-4ECE-BF5D-371296EA20A3},6.1,118.9
110,13067030334,303.34,ARC 10,2015-05-19T13:59:09.000Z,65.9,96214,1.5,2468,2399,2543,2625,2679,535,{1DA2D375-60D0-4B7A-9B0D-8D70B3D5364C},-140,356.7
111,13067031111,311.11,ARC 10,2015-05-19T13:59:09.000Z,60.4,78706,0.8,1340,1173,1527,1728,1882,930,{7B7457E1-9E72-4CB4-999B-33FFC4F8C597},-353.8,1162.5
112,13067031110,311.10,ARC 10,2015-05-19T13:59:09.000Z,34,56472,1,1087,1045,1130,1167,1182,185,{E209ECF0-D606-4FAF-86AE-5D119BAADF0D},-166,185
113,13067030405,304.05,ARC 10,2015-05-19T13:59:09.000Z,29.6,39492,1.5,3917,3665,4191,4521,4764,1395,{829743E6-DF16-4A27-9743-C58D396E627D},-74,930
114,13067031101,311.01,ARC 10,2015-05-19T13:59:09.000Z,23.9,41907,1.3,1875,1891,1873,1874,1856,-58,{41CCB982-3983-407A-925F-D50AD72773CD},34.6,-44.6
115,13117130305,1303.05,ARC 20,2015-05-19T13:59:09.000Z,46.5,94188,3.9,317,270,355,406,447,238,{D4FB40EC-8D9E-42C5-BBB9-E07572E520E6},610.3,61
116,13117130301,1303.01,ARC 20,2015-05-19T13:59:09.000Z,35.6,66842,8.1,1473,1093,1821,2196,2498,1691,{F606B87C-AD15-4549-8343-A66D7242BE59},240.6,208.8
117,13117130405,1304.05,ARC 20,2015-05-19T13:59:09.000Z,38.9,81048,3.9,526,501,619,693,743,326,{BAAABDA3-4501-4173-BC59-FB06081FEFEA},542.1,83.6
118,13117130504,1305.04,ARC 20,2015-05-19T13:59:09.000Z,32.3,66572,5.8,403,338,481,565,629,388,{40DD3CBB-D7F4-4D2C-8EB9-7D2C774CF742},64.7,66.9
119,13117130505,1305.05,ARC 20,2015-05-19T13:59:09.000Z,32.8,74000,8.5,182,151,211,246,272,162,{8DF1DFBF-99BB-4434-BC73-8DC9197B65BF},74.6,19.1
120,13117130503,1305.03,ARC 20,2015-05-19T13:59:09.000Z,43.4,82670,13.1,343,313,377,412,437,165,{D11B7D6C-886F-48F1-94B7-442FFECB5409},70.7,12.6
121,13117130102,1301.02,ARC 20,2015-05-19T13:59:09.000Z,30,59929,5.3,1185,1053,1550,1824,2047,1320,{37F70168-6A37-4BDA-B54F-060A09F248DB},207.4,249.1
122,13117130103,1301.03,ARC 20,2015-05-19T13:59:09.000Z,17.2,53941,9.2,364,323,419,480,523,255,{B461CEEF-45C4-4BF6-856D-1A3A54A15490},190.1,27.7
123,13117130303,1303.03,ARC 20,2015-05-19T13:59:09.000Z,29.1,85750,7.1,855,700,1040,1247,1396,903,{2EBB1AC0-CB4A-4B34-B1E1-62F105AF05B3},111.4,127.2
124,13117130201,1302.01,ARC 20,2015-05-19T13:59:09.000Z,34,82137,14.8,1741,1339,2174,2638,3574,2573,{8A218FE9-8CAB-410A-B383-8E076DCE0831},221.6,173.9
