X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.225115921999588,33.810577597000588,54,JOLLY ELEMENTARY SCHOOL,Dekalb,1070 OTELLO AVE,CLARKSTON,30021,Captain Planet Foundation_ Project Learning Garden,{01AB52D6-7908-43F4-A549-A0347BF391F8},2015-01-30T21:10:09.000Z,School,Garden
-84.49513666599961,34.060702209000567,55,KEHELEY ELEMENTARY SCHOOL,Cobb,1985 KEMP RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,{847EB155-83E5-4707-9A19-4565AE097D1C},2015-01-30T21:10:09.000Z,School,Garden
-84.701698669999587,33.932221989000482,56,KEMP ELEMENTARY SCHOOL,Cobb,865 CORNER RD,POWDER SPRINGS,30127,Captain Planet Foundation_ Project Learning Garden,{981C529C-2E69-4D77-9C00-F399669A082D},2015-01-30T21:10:09.000Z,School,Garden
-84.591187212999614,34.02721401700046,57,KENNESAW CHARTER SCHOOL,Cobb,1370 LOCKHART DR NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,{F083B972-FC16-453D-B74F-0E318CF97A93},2015-01-30T21:10:09.000Z,School,Garden
-84.489902554999617,33.702871176000485,58,KIMBERLY ELEMENTARY SCHOOL,Fulton,3090 McMurray Dr. SW,Atlanta,30311,Captain Planet Foundation_ Project Learning Garden,{07D77543-0131-43FF-8900-FD81CB5797B7},2015-01-30T21:10:09.000Z,School,Garden
-84.51086010199964,34.001857019000511,59,KINCAID ELEMENTARY SCHOOL,Cobb,1410 Kincaid Road,Marietta,30066,Captain Planet Foundation_ Project Learning Garden,{6DB5388E-F86D-4924-922C-BC0B54446A69},2015-01-30T21:10:09.000Z,School,Garden
-84.379064507999658,33.738879829000439,61,KING MIDDLE SCHOOL,Fulton,545 HILL ST SE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{D89BD83B-A266-4B27-90E5-7F7F7403A109},2015-01-30T21:10:09.000Z,School,Garden
-84.523525246999611,33.853757075000487,62,KING SPRINGS ELEMENTARY SCHOOL,Cobb,1041 REED RD SE,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,{139A5D04-EA23-4CB6-8DB5-2E177B5D6AA5},2015-01-30T21:10:09.000Z,School,Garden
-84.435139841999671,33.742402237000533,63,KIPP STRIVE PRIMARY SCHOOL,Fulton,1448 LUCILE AVE SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{F146D2E5-D10D-4F3B-A3BA-2762C004E977},2016-06-14T15:50:16.000Z,School,Garden
-84.103000030999681,33.886373468000443,64,KNIGHT ELEMENTARY SCHOOL,Gwinnett,401 N. River Dr.,Lilburn,30047,Captain Planet Foundation_ Project Learning Garden,{DCCD21BA-41BD-4163-8BB9-B0E593D26409},2015-01-30T21:10:09.000Z,School,Garden
-84.554173554999636,33.896144015000516,65,LABELLE ELEMENTARY SCHOOL,Cobb,230 CRESSON DR SW,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,{1AB6104C-8BC2-4035-9410-0AFDB86D74FF},2015-01-30T21:10:09.000Z,School,Garden
