OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_2__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp2_HousTranspCosts_Pct_Income,Tp2_HousCosts_Pct_Income,Tp2_TranspCosts_Pct_Income,Tp2_AnnualVehMilesTrav
126,13067030222,302.22,ARC 10,73438,46.36,{3E1271C8-C9F3-42E9-A091-03BD72362C90},2015-06-02T12:14:52.000Z,-31.1,178.22,113.77,64.45,18506
127,13067031118,311.18,ARC 10,67149,83.96,{D6085F1F-4C13-4998-869B-6C1636228A98},2015-06-02T12:14:52.000Z,133,162.21,107.68,54.53,15800
128,13067031117,311.17,ARC 10,110870,43.91,{61E15ED6-E6FE-4D4B-8D92-39EB35B40E88},2015-06-02T12:14:52.000Z,-182.5,174.85,113.22,61.62,17829
129,13067031507,315.07,ARC 10,44830,55.76,{75C90F2C-DF79-49F6-AEEB-DB419F3BFBBB},2015-06-02T12:14:52.000Z,-124.7,134.3,72.15,62.15,18625
130,13067031004,310.04,ARC 10,38137,95.6,{7B16C03D-07C4-44F0-BA0E-935B36FC7F13},2015-06-02T12:14:52.000Z,-449.4,119.95,68.69,51.26,15093
131,13067030103,301.03,ARC 10,71569,11.97,{A05D13EB-B899-4CA1-B15F-A2D82D8BEB84},2015-06-02T12:14:52.000Z,498.9,172.28,106.73,65.56,19144
132,13067031404,314.04,ARC 10,63426,29.11,{735AD337-0F03-4D01-A482-2907B129CBF8},2015-06-02T12:14:52.000Z,117.9,156.04,94.74,61.31,17827
133,13067031306,313.06,ARC 10,47992,14.99,{DB17B2EB-8C7D-4D16-89D3-2CA65DDCF4B9},2015-06-02T12:14:52.000Z,107.7,133.05,75.61,57.45,16393
134,13067030101,301.01,ARC 10,73603,0,{7991000F-A55A-4CEC-B362-CDE2914FFCF7},2015-06-02T12:14:52.000Z,100.7,172.7,104.87,67.84,19674
135,13067030104,301.04,ARC 10,51140,38.85,{116E9F20-23CE-4FB9-8EC0-0B28945CF2AB},2015-06-02T12:14:52.000Z,150.7,144.45,83.23,61.22,18387
136,13117130613,1306.13,ARC 20,95217,23.42,{EFDB8481-26EA-4E08-BD52-51E302D82BB7},2015-06-02T12:14:52.000Z,474.2,209.28,144.64,64.63,18722
137,13117130408,1304.08,ARC 20,53333,38.87,{A9FCB54B-0BA3-4A4F-81E2-DFD20CF4539D},2015-06-02T12:14:52.000Z,320.7,138.7,75.18,63.52,18635
138,13117130612,1306.12,ARC 20,141802,57.48,{7DAC27C2-EF38-416D-A2FD-672BE2857E4A},2015-06-02T12:14:52.000Z,734.3,244.93,177.88,67.05,18925
139,13117130608,1306.08,ARC 20,124531,43.29,{77BA2AB8-6B74-412A-BF28-47CA45CD37A4},2015-06-02T12:14:52.000Z,972.4,270.14,203.5,66.64,19015
140,13117130307,1303.07,ARC 20,85833,29.69,{3E1A48C7-7D74-423D-83CC-E5480DEE75C4},2015-06-02T12:14:52.000Z,246,183.84,114.44,69.4,20435
141,13117130302,1303.02,ARC 20,99464,39.16,{14D79374-0A12-47C7-9C87-E1D076F03AC3},2015-06-02T12:14:52.000Z,482.6,197.88,128.62,69.26,20248
142,13117130304,1303.04,ARC 20,103438,28.69,{BBF05B43-7862-4AED-96CC-04BD0C620C30},2015-06-02T12:14:52.000Z,138.3,181.78,111.81,69.97,19763
143,13117130404,1304.04,ARC 20,102384,40.99,{2066D50C-A682-482A-847B-7BE81A4E1200},2015-06-02T12:14:52.000Z,1065.2,202.48,133.69,68.79,19545
144,13117130306,1303.06,ARC 20,103947,54.62,{7B92136A-38B8-4589-A9F8-5A736F6C3A38},2015-06-02T12:14:52.000Z,544.7,194.52,126.67,67.85,19858
145,13117130601,1306.01,ARC 20,85497,35.01,{817E68E8-245C-4989-9D7B-58AAB9A13F95},2015-06-02T12:14:52.000Z,281.9,178.5,116.07,62.44,18390
146,13117130510,1305.10,ARC 20,99531,29.73,{FBFDF629-619F-47D6-B991-B3A11947585D},2015-06-02T12:14:52.000Z,473.7,189.79,123.14,66.65,18873
147,13117130406,1304.06,ARC 20,70261,55.85,{77621C1C-E7FD-45E4-9841-463DBF89C42E},2015-06-02T12:14:52.000Z,1310,174.42,111.1,63.32,18465
