X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_with_public_coverage,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
-82.214473545375114,32.441035494888034,73,Stillmore,2049.13989258,3.20178008, , ,437,73.3,222,37.2,256,43,159,26.7,7,4.1,226,72,31.9,46,33,71.7,74,47,63.5,{30DCEAD5-0133-44C5-8724-FF4198522F9B},
-84.483923966221724,34.691330497044504,74,Ellijay,2267.75,3.54335999, , ,1123,73.4,680,44.4,638,41.7,408,26.6,48,15.9,584,218,37.3,65,51,78.5,336,91,27.1,{B4E59661-5419-4D88-9BAF-4C63995592F7},
-84.47610583230427,34.67592347901715,75,East Ellijay,2177.2199707,3.40191007, , ,680,68.2,311,31.2,455,45.6,317,31.8,83,20.9,288,132,45.8,32,32,100,168,70,41.7,{A9C4A232-AA1A-477A-949C-53C1D136A0AB},
-83.249786092788838,31.598645994149308,76,Ocilla,1633.93994141,2.55303001, , ,2143,75.7,1250,44.2,1155,40.8,688,24.3,137,17.9,828,304,36.7,218,49,22.5,633,198,31.3,{2DCBA07B-CAE4-4D40-97FE-3D93F68B0EB6},
-83.251695404596816,31.71386939057345,77,Fitzgerald,5763.47998047,9.00543022, , ,7230,82.7,3677,42,4490,51.3,1517,17.3,153,5.9,2530,567,22.4,362,196,54.1,2086,592,28.4,{D4A42FA0-097A-465C-B8A1-E0243AF8E4DA},
-82.665271648342781,33.406733872666322,78,Warrenton,1231.57995605,1.92435002, , ,1708,88.5,942,48.8,964,49.9,223,11.5,20,4.3,581,81,13.9,129,41,31.8,406,81,20,{3480AE2C-00FC-49E5-B728-5CADF4C98788},
-82.705488203982597,33.462486518761899,79,Norwood,527.9130249,0.82486302, , ,319,79.2,162,40.2,171,42.4,84,20.8,5,10.2,128,32,25,61,8,13.1,95,39,41.1,{F6707085-01CE-434E-8C76-B4AE6855DC6A},
-82.646272929126894,33.452639622442945,80,Camak,508.38400269,0.79435003, , ,150,96.2,120,76.9,58,37.2,6,3.8,0,0,57,6,10.5,0,0,,42,0,0,{9A93E3A7-3C70-4894-A28C-231B968C7A22},
-82.871126877313074,34.106317794531584,81,Elberton,3060.77001953,4.7824502, , ,3677,83.4,1826,41.4,2409,54.7,730,16.6,52,4.6,1228,354,28.8,253,168,66.4,946,156,16.5,{AA6474EC-DBBA-4613-835B-50A347396E94},
-83.030876386624442,34.205138307498864,82,Bowman,2009.70996094,3.1401701, , ,723,87.5,405,49,446,54,103,12.5,2,1.3,232,43,18.5,32,14,43.8,226,44,19.5,{79DD8A62-14EA-4FE2-B015-6649ECF8DBBB},
-81.981443079721174,31.206537394802584,83,Nahunta,1814.88000488,2.8357501, , ,852,77.3,422,38.3,525,47.6,250,22.7,16,5.8,264,77,29.2,59,49,83.1,327,108,33,{2BD3A8CA-07A6-48ED-B327-03D90DEE8D2B},
-82.131279562871057,31.181253683625133,84,Hoboken,2206.23999023,3.44724989, , ,572,86.3,438,66.1,211,31.8,91,13.7,19,11.8,257,40,15.6,5,0,0,123,32,26,{586B752A-68C5-4776-BBF7-7AA68E92F13B},
-81.125560987373746,31.963823625571976,85,Vernonburg,262.2130127,0.40970701, , ,107,92.2,104,89.7,31,26.7,9,7.8,4,22.2,46,0,0,2,0,0,20,5,25,{8F339F8C-22E7-4B90-A598-7589F87A172C},
