OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_user,Percent_BA_or_Higher,Median_household_income,Change_in_Total_Jobs__2015_2040,GlobalID,Pop_Chng_per_SqMi_2000_2010,Chng_AgForFshHnt_jobs_2015_2040,Change_Mining_jobs_2015_2040,Chng_Util_Sect_jobs_2015_2040,Chng_Const_jobs_2015_2040,Chng_Manuf_jobs_2015_2040,Chng_Whlsl_Trade_jobs_2015_2040,Chng_Retail_Trad_jobs_2015_2040,Chng_Trans_Wareh_jobs_2015_2040,Chng_Info_jobs_2015_2040,Chng_Finance_jobs_2015_2040,Chng_RealEs_Rent_jobs_2015_2040,Chng_ProSciTech_jobs_2015_2040,Chng_Mgmt_Comps_jobs_2015_2040,Chng_Ad_Wst_Mgmt_jobs_2015_2040,Chng_Educ_Svcs_jobs_2015_2040,Chng_HealthSocAs_jobs_2015_2040,Chng_ArtsEntRec_jobs_2015_2040,Chng_AccFoodSvcs_jobs_2015_2040,Chg_OthrNotPubAd_jobs_2015_2040,Chng_PubAdmin_jobs_2015_2040,Chg_Pct_AgFoFiHu_jobs_2015_2040,Chng_Pct_Mining_jobs_2015_2040,Chg_Pct_Util_Sec_jobs_2015_2040,Chng_Pct_Const_jobs_2015_2040,Chng_Pct_Manuf_jobs_2015_2040,Chng_Pct_WhlslTr_jobs_2015_2040,Chg_Pct_RetailTr_jobs_2015_2040,Chg_Pct_TranspWH_jobs_2015_2040,Chng_Pct_Info_jobs_2015_2040,Chng_Pct_Finance_jobs_2015_2040,ChgPct_RlEs_Rent_jobs_2015_2040,ChgPct_ProSciTec_jobs_2015_2040,ChgPct_MgmtComps_jobs_2015_2040,ChgPct_AdWstMgmt_jobs_2015_2040,ChgPct_EducSvcs_jobs_2015_2040,ChgPct_HlthSocAs_jobs_2015_2040,ChgPct_ArtEntRec_jobs_2015_2040,ChgPct_AcFoodSvc_jobs_2015_2040,ChPct_OthNotPubAd_job_2015_2040,ChgPct_PubAdmin_jobs_2015_2040
480,13121008101,81.01,ARC 10,SDE,14.7,29178,8,{3D34B124-7B8A-404C-A1B2-7C6286CC1868},-480,0,7,1,0,0,-3,1,0,-1,0,0,1,0,1,0,1,0,0,0,0,0,7.6,3.3,0,0,-17.3,3.3,0,-5.8,0,0,3.3,-1.2,3.3,0,3.3,0,0,0,0
481,13121006000,60,ARC 10,SDE,19.8,23409,52,{FE61E1E8-12EE-4D48-B0AF-DE4A208ED683},-1455,0,0,0,0,0,0,-9,0,0,-1,0,0,0,3,0,47,0,6,0,6,0,0,0,0,0,0,-8.8,0,-0.1,-0.9,0,-0.1,0,-0.1,0,12.1,0,-0.9,-0.2,-0.9
482,13121000700,7,ARC 10,SDE,14.7,63594,438,{71AC6A35-FB02-484B-ABDE-28BFAC0E4BCF},-1081.4,0,0,0,66,-68,10,-1,7,-5,3,0,11,0,147,1,204,1,8,4,50,0,0,0,2,-4.9,-0.1,-0.1,-0.3,-0.5,0,0,0,0,1.9,0.1,7.2,0.1,0,0,-5.2
483,13121001002,10.02,ARC 10,SDE,51.7,24028,4391,{60CF770F-E4EF-4EFA-A79D-9168B9F4BB16},-1917.1,0,0,0,10,-9,3,-3,0,-4,1,41,47,-1,31,4084,65,0,64,62,0,0,0,0,0,-0.3,0,-0.5,0,-0.2,-0.1,-0.9,-0.5,-0.1,-4.3,8.5,0.3,-0.1,-1.3,-0.6,0
484,13121011410,114.10,ARC 10,SDE,65.2,91774,1353,{75E644E2-5B39-47F6-8164-0D3B52AB776C},32.7,0,0,0,23,0,20,110,0,-1,40,178,170,3,138,157,160,-4,229,102,28,0,0,0,0.4,-0.1,-1.8,-3.2,0,-0.3,-0.5,1,2.2,0,0.7,-0.5,4,-1.8,-1.5,1.2,0.1
485,13121010107,101.07,ARC 10,SDE,74.2,150313,246,{5FFFED4E-976A-45B3-9697-7B48A49556B2},47.1,0,0,0,3,0,2,1,0,0,3,13,13,0,34,33,4,83,44,12,1,0,0,0,0.2,0,-0.1,-0.4,0,-0.4,0,0.4,0.7,0,1.3,1.8,0.5,-2,-2.2,0.4,0.1
486,13121011405,114.05,ARC 10,SDE,40,53134,918,{9355251C-FD64-4E00-B20F-553C15E04D46},132.7,0,0,0,115,-17,26,-12,2,-2,11,116,108,-9,106,62,169,0,102,45,96,0,0,0,1.6,-0.8,-0.1,-1.4,0,-0.1,-1.2,0.2,0.4,-0.6,0.8,0.7,2.5,-0.3,0.1,0.2,-2
487,13121010106,101.06,ARC 10,SDE,60.7,76895,183,{3506ECBF-7287-4543-83FA-379950DB9ECC},111.9,0,0,0,0,0,9,0,10,0,5,26,40,16,13,56,7,0,1,0,0,0,0,0,0,0,-1.1,-1,1.4,-0.2,-0.5,2.5,6.3,-1.8,-0.2,-6.3,1.1,0,0,-0.2,0
488,13121002900,29,ARC 10,SDE,59.5,64671,933,{83A6B210-D2AF-4AC9-91CA-EC6434208BC8},3966.7,0,0,0,13,-6,6,7,11,-3,4,30,105,0,57,5,533,25,64,58,24,0,0,0,0.2,-1.7,-0.3,-0.8,-0.4,-0.8,-0.1,-0.6,-1,-0.2,-1.2,0.1,15.1,-2.3,-4.1,-0.4,-1.2
489,13121010110,101.10,ARC 10,SDE,66.4,73655,6399,{61554B7C-7A81-40E1-8FAD-94997AB1732E},571,-3,0,-85,422,-17,538,-15,26,-536,582,884,963,-34,862,296,1746,-19,336,128,325,0,0,-0.5,0.9,-0.2,0,-0.5,0,-4.7,-1.5,1.4,-0.2,-0.5,0.7,0.5,4.6,-0.3,-0.3,0.2,0.3
