X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-84.34914,33.74122,19334,117118,117118,MORELAND AVE SE @ METROPOLITAN AVE SE,,,,,,,
-84.349159,33.743032,19335,117120,117120,MORELAND AVE SE @ MCPHERSON AVE SE,,,,,,,
-84.34916,33.747543,19336,117121,117121,MORELAND AVE SE @ MEMORIAL DR SE,,,,,,,
-84.349251,33.728714,19337,117122,117122,MORELAND AVE@STONEYBROOK DR,,,,,,,
-84.349139,33.749655,19338,117123,117123,MORELAND AVE SE @ MERLIN AVE SE,,,,,,,
-84.349296,33.730061,19339,117124,117124,MORELAND AVE@EDEN AVE,,,,,,,
-84.349162,33.752341,19340,117127,117127,MORELAND AVE SE @ WYLIE ST SE,,,,,,,
-84.349173,33.753504,19341,117129,117129,MORELAND AVE SE @ HOSEA L WILLIAMS DR NE,,,,,,,
-84.349119,33.755599,19342,117131,117131,MORELAND AVE NE @ HARDEE ST NE,,,,,,,
-84.573987,33.723916,19343,118002,118002,BOAT ROCK RD SW @ 5760,,,,,,,
-84.59055,33.71972,19344,118005,118005,LAGRANGE BLVD@6070,,,,,,,
-84.577538,33.724327,19345,118006,118006,BOAT ROCK RD SW @ WESTCHASE LN,,,,,,,
-84.582392,33.724538,19346,118010,118010,BOAT ROCK RD @ FULTON INDUSTRIAL BLVD,,,,,,,
-84.578863,33.727439,19347,118012,118012,FULTON INDUSTRIAL BLVD SW @ LAKEVIEW CT SW,,,,,,,
-84.590482,33.724549,19348,118014,118014,LAGRANGE BLVD@XAVIER DR,,,,,,,
-84.590446,33.722687,19349,118016,118016,LAGRANGE BLVD@EMMANUEL DR,,,,,,,
-84.590645,33.715015,19350,118018,118018,LAGRANGE BLVD@DUQUESNE DR,,,,,,,
-84.58845,33.713367,19351,118036,118036,FULTON INDUSTRIAL BLVD@6095,,,,,,,
-84.591185,33.710708,19352,118040,118040,FULTON IND BLVD @ TRADEWATER PKY,,,,,,,
-84.58551,33.719494,19353,118050,118050,FULTON INDUSTRIAL BLVD@PLUMMER RD,,,,,,,
-84.582613,33.725821,19354,118052,118052,FULTON INDUSTRIAL BLVD SW @ BOAT ROCK RD,,,,,,,
-84.589746,33.712143,19355,118090,118090,FULTON INDUSTRIAL BLVD@RIVERSIDE D,,,,,,,
-84.590413,33.721117,19356,118094,118094,LAGRANGE BLVD@6040,,,,,,,
-84.572418,33.723828,19357,119002,119002,BOAT ROCK RD SW @ REYNOLDS RD SW,,,,,,,
-84.515609,33.72552,19358,120012,120012,CASCADE RD SW @ KIMBERLY RD SW,,,,,,,
-84.516317,33.726128,19359,120016,120016,CASCADE RD SW@KIMBERLY RD SW,,,,,,,
-84.511954,33.724076,19360,120018,120018,CASCADE RD SW @ OLD CASCADE RD SW,,,,,,,
-84.520839,33.719733,19361,120024,120024,KIMBERLY RD @ FAIRLY WAY,,,,,,,
-84.515304,33.725181,19362,120026,120026,KIMBERLY RD SW @ CASCADE RD SW,,,,,,,
-84.51514,33.725038,19363,120028,120028,KIMBERLY RD@CASCADE RD,,,,,,,
-84.504497,33.723193,19364,120030,120030,CASCADE AVE SW@3515,,,,,,,
-84.506875,33.723303,19365,120032,120032,CASCADE RD@RESEARCH CENTER ATLA DR,,,,,,,
-84.50878,33.723696,19366,120034,120034,CASCADE RD@3675,,,,,,,
-84.510693,33.723908,19367,120035,120035,CASCADE RD @ FAIRBURN RD,,,,,,,
-84.510399,33.7239,19368,120036,120036,FAIRBURN RD SW @ CASCADE RD SW,,,,,,,
-84.507989,33.719956,19369,120038,120038,FAIRBURN RD@ UTOY SPRINGS,,,,,,,
-84.50853,33.718227,19370,120042,120042,FAIRBURN RD@VILLAGE DR,,,,,,,
-84.507263,33.713909,19371,120044,120044,FAIRBURN RD@GARRISON DR,,,,,,,
-84.506485,33.710297,19372,120046,120046,FAIRBURN RD@MELVIN DR,,,,,,,
-84.507454,33.708176,19373,120048,120048,FAIRBURN RD SW@MELVIN DR SW,,,,,,,
-84.50695,33.705818,19374,120050,120050,FAIRBURN RD SW@HERITAGE VALLEY RD S,,,,,,,
-84.506752,33.705044,19375,120052,120052,FAIRBURN RD SW@INGLEDALE DR SW,,,,,,,
-84.506523,33.703342,19376,120054,120054,FAIRBURN RD SW@GLENVIEW CIR SW,,,,,,,
-84.506284,33.701635,19377,120056,120056,FAIRBURN RD SW @ MT GILEAD RD SW,,,,,,,
-84.507172,33.69849,19378,120058,120058,BARGE RD SW@FAIRBURN RD SW,,,,,,,
-84.50666,33.699631,19379,120064,120064,FAIRBURN RD SW@HILL ACRES RD SW,,,,,,,
-84.506035,33.701122,19380,120066,120066,FAIRBURN RD SW@MT GILEAD RD SW,,,,,,,
-84.506485,33.706005,19381,120068,120068,FAIRBURN RD SW@HERITAGE VALLEY RD S,,,,,,,
-84.507021,33.708349,19382,120070,120070,FAIRBURN RD SW@MELVIN DR SW,,,,,,,
-84.505722,33.712463,19383,120072,120072,FAIRBURN RD SW@GARRISON DR SW,,,,,,,
-84.507103,33.714798,19384,120074,120074,FAIRBURN RD SW@VILLAGE DR,,,,,,,
-84.50797,33.71596,19385,120076,120076,FAIRBURN RD SW@VILLAGE DR SW,,,,,,,
-84.507881,33.718296,19386,120078,120078,FAIRBURN RD SW@UTOY SPRINGS RD,,,,,,,
-84.507946,33.720323,19387,120080,120080,FAIRBURN RD SW@UTOY SPRINGS RD SW,,,,,,,
-84.509584,33.723668,19388,120084,120084,CASCADE RD SW @ FAIRBURN RD SW,,,,,,,
-84.506551,33.723109,19389,120086,120086,CASCADE RD SW @ UTOY SPRINGS RD SW,,,,,,,
-84.505149,33.723049,19390,120088,120088,CASCADE RD@UTOY SPRINGS RD,,,,,,,
-84.535397,33.69685,19391,120090,120090,COUNTY LINE RD SW @ WILSON JAMES RD SW,,,,,,,
-84.536271,33.69989,19392,120092,120092,COUNTY LINE RD SW@2056,,,,,,,
-84.536472,33.7018,19393,120094,120094,COUNTY LINE RD SW@2000,,,,,,,
-84.536758,33.703662,19394,120096,120096,COUNTY LINE RD SW @ 1947,,,,,,,
-84.536774,33.705509,19395,120098,120098,COUNTY LINE RD SW @ GREENBRIAR TRL SW,,,,,,,
-84.536275,33.70802,19396,120100,120100,COUNTY LINE RD SW @ REGENCY TRCE SW,,,,,,,
-84.532619,33.708348,19397,120102,120102,NISKEY LAKE RD @ LAKE COVE WAY SW,,,,,,,
-84.530636,33.707486,19398,120104,120104,NISKEY LAKE RD @ NISKEY OVERLOOK,,,,,,,
-84.529189,33.706569,19399,120106,120106,NISKEY LAKE RD SW@1760,,,,,,,
-84.529325,33.705239,19400,120108,120108,NISKEY LAKE RD SW@LYON BLVD,,,,,,,
-84.529298,33.703413,19401,120110,120110,NISKEY LAKE RD SW@1883,,,,,,,
-84.528682,33.700496,19402,120112,120112,NISKEY LAKE RD SW@BROOKS RD SW,,,,,,,
-84.505974,33.703224,19403,120116,120116,FAIRBURN RD@GLENVIEW CIR,,,,,,,
-84.508478,33.71625,19404,120118,120118,FAIRBURN RD@VILLAGE DR,,,,,,,
-84.506289,33.712748,19405,120120,120120,FAIRBURN RD@GARRISON DR,,,,,,,
-84.506264,33.704958,19406,120122,120122,FAIRBURN RD@INGLEDALE DR,,,,,,,
-84.505914,33.71032,19407,120244,120244,FAIRBURN RD@GARRISON DR,,,,,,,
-84.50968,33.72297,19408,120246,120246,FAIRBURN RD @ CASCADE RD,,,,,,,
-84.50909,33.72171,19409,120248,120248,FAIRBURN RD@UTOY SPRINGS RD,,,,,,,
-84.535009,33.710214,19410,120250,120250,NISKEY LAKE RD @ COUNTY LINE RD,,,,,,,
-84.48788,33.71991,19411,121001,121001,CASCADE RD @ LYNHURST DR,,,,,,,
-84.470487,33.725326,19412,121004,121004,BENJAMIN E MAYS DR @ WILLIS MILL RD,,,,,,,
-84.475067,33.727836,19413,121005,121005,BENJAMIN E MAYS DR SW @ PEYTON RD SW,,,,,,,
-84.48254,33.698657,19414,121010,121010,CAMPBELLTON RD SW @ MAXWELL DR SW,,,,,,,
-84.196202,33.800453,19415,121011,121011,MEMORIAL DR @ LAUREN PKY,,,,,,,
-84.479286,33.700771,19416,121012,121012,CAMPBELLTON RD SW@ 2797,,,,,,,
-84.193528,33.805731,19417,121013,121013,N HAIRSTON RD @ FELLSRIDGE DR,,,,,,,
-84.478218,33.7015,19418,121014,121014,CAMPBELLTON RD SW@HARBIN RD SW,,,,,,,
-84.193575,33.810099,19419,121015,121015,N HAIRSTON RD @ OLD HIGHGATE ENTRY,,,,,,,
-84.193548,33.813482,19420,121017,121017,N HAIRSTON RD@SUMMERVIEW DR,,,,,,,
-84.474888,33.702539,19421,121018,121018,CAMPBELLTON RD SW @ DODSON DR,,,,,,,
-84.193405,33.817371,19422,121019,121019,N HAIRSTON RD @ CHATFIELD DR N,,,,,,,
