OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_8__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp8_HousTranspCosts_Pct_Income,Tp8_HousingCosts_Pct_Income,Tp8_TransportCosts_Pct_Income,Tp8_AnnualVehMilesTraveled
136,13117130613,1306.13,ARC 20,95217,54.46,{2AFA9225-41EE-4560-94EA-679F1673602F},2015-06-02T14:23:56.000Z,474.2,50.07,28.72,21.35,29612
137,13117130408,1304.08,ARC 20,53333,67.4,{5EE013ED-91DD-4781-964F-551B741002D3},2015-06-02T14:23:56.000Z,320.7,47.76,26.75,21.01,29366
138,13117130612,1306.12,ARC 20,141802,90.65,{6C905F97-1099-49D4-8BAF-A1AEDE19B569},2015-06-02T14:23:56.000Z,734.3,52.51,30.58,21.93,29908
139,13117130608,1306.08,ARC 20,124531,81.66,{B56A4504-7CCD-43FD-ABAB-71529FCE294C},2015-06-02T14:23:56.000Z,972.4,58.55,36.68,21.87,30028
140,13117130307,1303.07,ARC 20,85833,68.88,{8B6813D4-BEEF-4E99-8113-435A965358A6},2015-06-02T14:23:56.000Z,246,50.62,28.17,22.45,31743
141,13117130302,1303.02,ARC 20,99464,77.29,{238784BB-DD6D-4E46-8B54-D1792EC07C6D},2015-06-02T14:23:56.000Z,482.6,50.45,28.06,22.38,31519
142,13117130304,1303.04,ARC 20,103438,62.7,{26C0A58C-9FEC-4756-8B9A-600F9D9946D1},2015-06-02T14:23:56.000Z,138.3,51.09,28.56,22.54,31165
143,13117130404,1304.04,ARC 20,102384,77.04,{DC0AA1BD-19F1-4E4A-9CD8-42D76685246F},2015-06-02T14:23:56.000Z,1065.2,51.97,29.77,22.2,30631
144,13117130306,1303.06,ARC 20,103947,91.96,{ADF8186B-D0BD-46FE-B108-30499E638AC8},2015-06-02T14:23:56.000Z,544.7,50.95,28.96,21.99,30759
145,13117130601,1306.01,ARC 20,85497,65.5,{67827E5E-16F3-4859-A0E3-7F18C97941A4},2015-06-02T14:23:56.000Z,281.9,48.88,28.04,20.84,29073
146,13117130510,1305.10,ARC 20,99531,51.93,{6CD03879-B138-4CD1-B062-0B8E021B8B8D},2015-06-02T14:23:56.000Z,473.7,50.55,28.86,21.69,30076
147,13117130406,1304.06,ARC 20,70261,86.16,{C11C2326-02F3-4A75-9E78-707306FAC3A9},2015-06-02T14:23:56.000Z,1310,48.99,28.01,20.98,29172
