OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_3__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp3_HousTranspCosts_Pct_Income,Tp3_HousingCosts_Pct_Income,Tp3_TransportCosts_Pct_Income,Tp3_AnnualVehMilesTraveled
261,13063040306,403.06,ARC 10,24254,154.38,{BEC54634-32B1-4262-9775-8BE615A2F5B1},-125.9,68.9,41.44,27.46,13678
262,13063040516,405.16,ARC 10,30273,46.33,{DFF2D4BC-BD5B-4549-B98C-E6A49E0926D3},755.3,82.53,45.56,36.97,18179
263,13063040509,405.09,ARC 10,63750,26.63,{4B83EED1-43E9-453D-9D7C-9E224E45A2D1},-9,96.38,58.59,37.79,18215
264,13063040202,402.02,ARC 10,30606,52.24,{D7A4C83F-B78D-4DC9-BE3D-BD368CCA743D},-415.1,72.53,41.82,30.71,14492
265,13063040518,405.18,ARC 10,30640,41.94,{C8426FCD-1266-4410-86FF-258F46CC8FA5},344.3,82.33,45.9,36.43,17848
266,13063040515,405.15,ARC 10,41290,43.6,{FEFB2A93-A17C-4791-AAB5-9E355CFCDFC0},-111.7,82.13,46.69,35.45,17335
267,13063040513,405.13,ARC 10,60798,3.98,{BDC03D8C-317E-4C8B-AA9A-588212F21FF7},-77.8,90.79,50.95,39.84,19087
268,13151070403,704.03,ARC 10,64861,1.56,{91B3E3BE-065B-46BD-A428-ED344313BC69},204,93.52,49.96,43.56,21903
269,13151070307,703.07,ARC 10,72361,16.3,{9197BE33-050A-4FCC-952E-A0229D990DF6},624.1,106.61,64.37,42.25,21237
270,13151070113,701.13,ARC 10,40982,7.23,{52A3963A-DC4E-4ED2-AF3D-EBBCA6DC6F15},6.9,82.96,45.54,37.42,18296
271,13151070501,705.01,ARC 10,43145,0,{9F4A6F10-1A08-4ECC-B83E-E573BDE253AF},150.7,86.15,44.54,41.61,20281
272,13151070502,705.02,ARC 10,69662,0,{D9589AAE-A329-4B5C-83B9-F2993C0E7BA7},270.4,95.16,51.52,43.63,21513
273,13151070311,703.11,ARC 10,42330,52.43,{8AF3D9A3-01B6-4C88-83FC-78207266F754},1014.1,80.59,46.46,34.13,17141
274,13151070404,704.04,ARC 10,60868,0,{99302438-6695-4448-AD6F-DE0E6AE03BCC},165.4,90.86,48.15,42.71,21361
275,13151070204,702.04,ARC 10,78669,0.8,{F95F00EB-1B74-4B29-89E9-DC3C6FE99CC8},81.3,93.3,50.17,43.12,21208
276,13151070310,703.10,ARC 10,55682,0,{C847C961-ABDF-4E3D-B16E-6C8DD5C3266B},-157.9,94,52.76,41.24,20400
277,13151070205,702.05,ARC 10,58099,10.63,{E6A5A785-C0CB-49B8-BF06-CD8799861B05},342.1,92.38,52.73,39.65,19554
278,13151070309,703.09,ARC 10,81503,16.34,{E2FF993F-2B38-47E6-9EDE-67373BA6451B},792,105.31,64.14,41.17,20258
279,13151070114,701.14,ARC 10,41624,32.69,{6C010A9B-F7EA-4255-A757-2EA1BE62546E},437.7,100.98,66.72,34.26,16845
280,13151070111,701.11,ARC 10,44290,13.59,{0E689FE4-D680-4AC9-97C8-6FF89DF90D20},578.6,88.55,52.25,36.29,18094
281,13151070107,701.07,ARC 10,73967,15.47,{EBA25F56-B278-4084-AD0C-2FA4EC333438},136.8,101.74,60,41.75,20533
282,13151070109,701.09,ARC 10,69362,0.17,{1DDD9A15-F999-43BC-8A94-34337CA0A5BF},102.7,91.19,49.54,41.65,20611
283,13151070110,701.10,ARC 10,67588,0,{5E04E20D-4055-41C7-98C2-1CAFE62FCD15},108.4,96.51,54.81,41.7,20057
284,13151070108,701.08,ARC 10,56061,3.41,{373ED025-97FF-4FBD-B422-17DE93B1F19E},337.6,91.82,52.2,39.62,19260
285,13151070306,703.06,ARC 10,65311,0,{DEB1F002-46F9-42FE-9D2D-7D792FB88B29},461.8,100.1,59.56,40.54,19602
286,13151070104,701.04,ARC 10,59686,2.86,{36C96990-E909-4A6E-B80F-69805EC0207A},718.3,96.67,57.75,38.93,18840
287,13151070202,702.02,ARC 10,81520,2.21,{635E9770-E011-4781-9675-6428FE94FA6E},256.4,117.42,73.37,44.05,21834
