X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.147450518749281,33.908010263285256,2529,Hopkins Elementary School,30,1315 Dickens Road, ,Lilburn,Georgia,30047,770,564-2661,Laurie Allison,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{4EC642CC-3B05-4ACB-9A6F-FF3C270FB73F},
-84.236421529911141,33.537529147522953,2533,Smith-Barnes Elementary School,30,147 Tye Street, ,Stockbridge,Georgia,30281,770,474-4066,Fred Smith,Principal,13151,Elementary School,Henry,Geocode,2012-02-01T00:00:00.000Z, ,{13682C00-1F87-4C5C-99CE-D9176C461D89},
-84.243937252908296,33.49579044526056,2534,Pate's Creek Elementary School,30,1309 Jodeco Road, ,Stockbridge,Georgia,30281,770,389-8819,Ken Proctor,Principal,13151,Elementary School,Henry,Geocode,2012-02-01T00:00:00.000Z, ,{978AFB71-C6EC-4484-A3FE-74B7A1F42930},
-84.03939480799653,33.442012933102205,2535,Ola Elementary School,30,278 North Ola Road, ,McDonough,Georgia,30252,770,957-5777,Al Orendorff,Principal,13151,Elementary School,Henry,Geocode,2012-02-01T00:00:00.000Z, ,{89BA5ECF-53A2-46C2-87F1-ECD5C8B830A8},
-84.267684324906668,33.440705336523024,2537,Mount Carmel Elementary School,30,2450 Mount Carmel Road, ,Hampton,Georgia,30228,770,897-9799,Ellen Benton,Principal,13151,Elementary School,Henry,Photo,2012-02-01T00:00:00.000Z, ,{E703D15A-7D2F-4C2F-84EB-814FCCACFA70},
-84.561434154862766,34.045288503031053,2545,Chalker Elementary School,30,325 North Booth Road, ,Kennesaw,Georgia,30144,678,494-7621,Carla Jones,Principal,13067,Elementary School,Cobb,Local,2012-01-10T00:00:00.000Z, ,{01CDFBB9-BF30-4D3E-84B7-C3C1BA9F78B5},
-84.673028649401004,34.014668069310389,2549,Lewis Elementary School,30,4179 Jim Owens Road, ,Kennesaw,Georgia,30152,770,975-6673,Kristi Kee,Principal,13067,Elementary School,Cobb,Local,2012-01-10T00:00:00.000Z, ,{770044CA-264B-43B1-96CD-BBC592211736},
-84.724430951263017,33.960261163809697,2550,Vaughan Elementary School,30,5950 Nichols Road, ,Powder Springs,Georgia,30127,678,594-8298,Barbara Swinney,Principal,13067,Elementary School,Cobb,Local,2012-01-10T00:00:00.000Z, ,{1F9EE058-5F1E-4447-B732-75B0CB6AA946},
-84.453114160645754,33.935873856822404,2553,Sope Creek Elementary School,30,3320 Paper Mill Road, ,Marietta,Georgia,30067,770,916-2300,Walter Gordon,Principal,13067,Elementary School,Cobb,Local,2012-01-10T00:00:00.000Z, ,{4F6284AF-527F-4228-9457-116F8A30170A},
-84.525570580054605,33.944826739011702,2560,Marietta Center for Advanced Academics,30,311 Aviation Road, ,Marietta,Georgia,30060,770,420-0822,Karen Smits,Principal,13067,Elementary School,Cobb,Local,2012-01-10T00:00:00.000Z, ,{3B86999F-2867-4AA7-98A6-9FA11F2B4F51},
-84.320135379234799,34.120956792218415,2572,Summit Hill Elementary School,30,13855 Providence Road, ,Alpharetta,Georgia,30004,770,667-2830,Norris Gaynor,Principal,13121,Elementary School,Fulton,Geocode,2012-01-24T00:00:00.000Z, ,{068938D0-4A2D-47CA-ACA2-92BFFDF31D04},
