X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Workers_16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car_truck_or_van_carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Pct_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
-82.646272929126894,33.452639622442945,80,Camak,508.38400269,0.79435003, , ,55,54,98.2,1,1.8,0,0,0,0,23.2,{9A93E3A7-3C70-4894-A28C-231B968C7A22},
-82.871126877313074,34.106317794531584,81,Elberton,3060.77001953,4.7824502, , ,1422,1256,88.3,105,7.4,0,0,21,1.5,17.3,{AA6474EC-DBBA-4613-835B-50A347396E94},
-83.030876386624442,34.205138307498864,82,Bowman,2009.70996094,3.1401701, , ,239,189,79.1,30,12.6,2,0.8,8,3.3,29.7,{79DD8A62-14EA-4FE2-B015-6649ECF8DBBB},
-81.981443079721174,31.206537394802584,83,Nahunta,1814.88000488,2.8357501, , ,279,229,82.1,26,9.3,0,0,21,7.5,29.3,{2BD3A8CA-07A6-48ED-B327-03D90DEE8D2B},
-82.131279562871057,31.181253683625133,84,Hoboken,2206.23999023,3.44724989, , ,253,194,76.7,46,18.2,0,0,7,2.8,26,{586B752A-68C5-4776-BBF7-7AA68E92F13B},
-81.125560987373746,31.963823625571976,85,Vernonburg,262.2130127,0.40970701, , ,61,47,77,12,19.7,0,0,1,1.6,17.9,{8F339F8C-22E7-4B90-A598-7589F87A172C},
-80.852778971307117,32.010018949734139,86,Tybee Island,2053.33007813,3.20833993, , ,1340,858,64,204,15.2,1,0.1,123,9.2,21.1,{B404DC25-9DEE-4B91-9CAB-231F181701EA},
-81.049586116291195,32.033174380329946,87,Thunderbolt,899.36102295,1.40524995, , ,1240,1036,83.5,91,7.3,12,1,16,1.3,18.8,{E0932613-FCB6-449C-A2D2-A2B927FD3F17},
-81.178255534221705,32.028224458930346,88,Savannah,69709.703125,108.92099762, , ,59450,45106,75.9,6132,10.3,2237,3.8,1950,3.3,19.7,{130695CF-38FE-4A37-B2CA-359ECA88E73D},
-81.198328655242406,32.194365742802972,89,Port Wentworth,10640.09960938,16.62520027, , ,3133,2885,92.1,205,6.5,2,0.1,41,1.3,27.4,{CD16E34C-612B-4856-9584-B06975784DFA},
-81.253897095028421,32.102409919306545,90,Pooler,19459.30078125,30.40509987, , ,10171,8919,87.7,753,7.4,0,0,365,3.6,21.4,{0D3DAD76-2B0D-40D6-9FBE-A924A9A64CBB},
