OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
515,010507,13121010507,105.07,ARC 10,8380,2134,25.5,2580,1039,40.3,5143,1053,20.5,657,42,6.4,{EAF89E2C-2E6B-4E43-91A5-81195113C3FF},
516,010511,13121010511,105.11,ARC 10,8305,1045,12.6,2413,291,12.1,5335,736,13.8,557,18,3.2,{F68FB24D-CC40-4266-A793-C46B58234B7E},
517,011626,13121011626,116.26,ARC 10,9299,695,7.5,3211,285,8.9,5719,344,6,369,66,17.9,{078CEB3E-3E6A-4EF6-9F84-2EBC44C7B289},
518,011622,13121011622,116.22,ARC 10,10014,291,2.9,3022,83,2.7,6381,175,2.7,611,33,5.4,{B464B2E6-0C9E-456B-9A39-31E187CAA731},
519,011424,13121011424,114.24,ARC 10,5675,103,1.8,1276,0,0,3588,89,2.5,811,14,1.7,{A087FD00-DC1E-4503-B4E6-C6C354550192},
520,011422,13121011422,114.22,ARC 10,4082,604,14.8,997,195,19.6,2692,399,14.8,393,10,2.5,{8F8F03E5-5A6B-4AF7-96D5-5CA690C7B7F6},
521,011505,13121011505,115.05,ARC 10,4631,118,2.5,1426,0,0,2755,118,4.3,450,0,0,{36A15A22-CC66-48A7-BC71-5AE94DF3CC9F},
522,010123,13121010123,101.23,ARC 10,5898,978,16.6,1673,242,14.5,3439,736,21.4,786,0,0,{B4EE1EF5-63E4-4926-9EAB-C1F6EA7E6FA7},
523,000100,13121000100,1,ARC 10,4650,286,6.2,1177,66,5.6,3084,220,7.1,389,0,0,{4B1A4432-7F17-4952-BDD4-CA55C4F1C636},
524,000200,13121000200,2,ARC 10,6165,288,4.7,1041,0,0,4620,272,5.9,504,16,3.2,{9AEDC4C3-2705-4802-8710-F16871EFC006},
525,009402,13121009402,94.02,ARC 10,5022,897,17.9,599,236,39.4,4373,661,15.1,50,0,0,{536E8D94-CBFE-44D1-8CAC-65F4FBCBD6A8},
526,001100,13121001100,11,ARC 10,4245,255,6,128,0,0,3916,225,5.7,201,30,14.9,{8D14A154-8A78-44BE-821B-441DE043EDE6},
527,000400,13121000400,4,ARC 10,1444,88,6.1,174,0,0,1065,88,8.3,205,0,0,{54D9F12E-10E6-4486-A5F6-5A77B8B2CE34},
528,009200,13121009200,92,ARC 10,7083,1783,25.2,1305,734,56.2,5354,944,17.6,424,105,24.8,{4D32473B-34A7-4C51-AD2F-E44929AAB465},
529,008201,13121008201,82.01,ARC 10,5956,1941,32.6,1133,649,57.3,3312,899,27.1,1511,393,26,{0069CD14-C561-4CF1-9C64-5F936F1C8F74},
530,007808,13121007808,78.08,ARC 10,4487,3160,70.4,2098,1854,88.4,2159,1239,57.4,230,67,29.1,{F43F1A48-F321-4999-88AC-4E581CB554D7},
531,007806,13121007806,78.06,ARC 10,6594,2339,35.5,1897,991,52.2,3871,1174,30.3,826,174,21.1,{379C1534-AE84-4024-B953-197C26F37F68},
532,008800,13121008800,88,ARC 10,4569,429,9.4,1009,116,11.5,3134,272,8.7,426,41,9.6,{B54B571C-0419-44B9-9598-6FCD7AA0EE4B},
533,008602,13121008602,86.02,ARC 10,1063,311,29.3,195,108,55.4,690,185,26.8,178,18,10.1,{8ADDDFF9-24FA-4C2A-8443-361EDC43D6F3},
534,010121,13121010121,101.21,ARC 10,2199,163,7.4,252,0,0,1332,39,2.9,615,124,20.2,{4CF4599E-C1A6-4A6F-9584-4D9355E35BC8},
535,010119,13121010119,101.19,ARC 10,5064,1905,37.6,1346,763,56.7,3547,1107,31.2,171,35,20.5,{D76558E4-B8AC-4095-A81F-216E03A5CAE5},
