OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Population_16_years_and_over,Civilian_Labor_Force,Percent_Civilian_Labor_Force,Pct_Unemp_Civil_Lab_Force,Percent_Percent_Unemployed__Civ,GlobalID,last_edited_date
913,180205,13013180205,1802.05,ARC 20,3205,1789,55.8,295,16.5,{8A59CD6B-B94D-454A-BCA2-F49AEDCF4997},
914,180402,13013180402,1804.02,ARC 20,4805,3418,71.1,317,9.3,{6A776594-3CAF-40E1-B6BA-E77D4978903D},
915,180303,13013180303,1803.03,ARC 20,3160,1841,58.3,142,7.7,{07526DCD-FE8B-4BF3-9DDD-FBE35CB11773},
916,180106,13013180106,1801.06,ARC 20,2213,1706,77.1,122,7.2,{6BF83DA2-1195-43BA-B340-AAB0E63B2E33},
917,180103,13013180103,1801.03,ARC 20,3495,2432,69.6,206,8.5,{9BE7CD46-B0E7-474F-9076-8FFE759A07AB},
918,180401,13013180401,1804.01,ARC 20,4012,2873,71.6,342,11.9,{D207F16C-729F-4B2B-81E3-5550281CFACD},
919,180203,13013180203,1802.03,ARC 20,2539,1730,68.1,209,12.1,{EB8DFE87-F848-49ED-830B-B955037D6CB4},
920,180503,13013180503,1805.03,ARC 20,3960,2579,65.1,117,4.5,{517E8312-0B26-40DA-8A96-9B1703EAA510},
921,180502,13013180502,1805.02,ARC 20,3459,2322,67.1,272,11.7,{BBE814E8-7ECE-45F7-93CB-F8FDC7D8DAB8},
922,180204,13013180204,1802.04,ARC 20,2040,1246,61.1,169,13.6,{30520637-DEAD-486B-9E93-2B86C584DD37},
923,180501,13013180501,1805.01,ARC 20,4255,2778,65.3,428,15.4,{94B82F42-1A7E-4B17-8B63-A787D800C942},
924,180301,13013180301,1803.01,ARC 20,1719,1154,67.1,69,6,{A429082A-64EB-416B-88A5-BC286855DDAC},
925,180302,13013180302,1803.02,ARC 20,4238,2607,61.5,136,5.2,{ADB9D294-2603-4663-B923-BC9D198F4D1E},
926,180105,13013180105,1801.05,ARC 20,2064,1266,61.3,118,9.3,{9B1DBDAC-F109-4C6E-822C-7F9DFC9D414D},
927,180104,13013180104,1801.04,ARC 20,1376,991,72,87,8.8,{254435D5-85D1-47FF-ADCA-C047C25E4851},
928,180107,13013180107,1801.07,ARC 20,3174,1926,60.7,261,13.6,{4BBC70D2-F2EF-4FFE-BA15-58A1FD3D12D5},
929,180108,13013180108,1801.08,ARC 20,2521,1770,70.2,215,12.1,{53F42766-4C97-4AEB-851B-E76A9A581A3A},
930,120104,13223120104,1201.04,ARC 20,1883,1281,68,45,3.5,{54B501B1-C081-4C5D-A0E2-8E2569D041B0},
931,120604,13223120604,1206.04,ARC 20,4168,2888,69.3,281,9.7,{23FA2FC8-8006-4B80-8310-FD9937154C38},
932,120601,13223120601,1206.01,ARC 20,3412,2545,74.6,178,7,{2F06D440-AEE6-4809-8984-38992E540029},
933,120603,13223120603,1206.03,ARC 20,5124,3382,66,338,10,{592F5B06-49A6-42FF-94CA-8AB777308A7D},
934,120501,13223120501,1205.01,ARC 20,4858,3551,73.1,339,9.5,{6FC1B402-9C8A-4DB8-B941-F303B500C0D0},
935,120203,13223120203,1202.03,ARC 20,4220,2940,69.7,250,8.5,{559422C8-4C02-4779-A639-64A5463ABF4C},
936,120101,13223120101,1201.01,ARC 20,8242,6177,74.9,515,8.3,{8EBEF279-E569-4DD4-8FE1-667D7FF5575B},
937,120502,13223120502,1205.02,ARC 20,6950,5087,73.2,659,13,{6A7090CA-6923-4071-A4D0-C76B16756CF5},
938,120503,13223120503,1205.03,ARC 20,3991,2798,70.1,222,7.9,{D3458230-CB03-4A29-9569-DAF6A03A4596},
939,120605,13223120605,1206.05,ARC 20,4821,3056,63.4,198,6.5,{3B009BC6-D673-4C25-BEB7-9073C18B2395},
940,120602,13223120602,1206.02,ARC 20,6903,4746,68.8,381,8,{50CAE5FF-B2F8-4063-9F49-35165C4A4A0D},
941,120204,13223120204,1202.04,ARC 20,5254,3305,62.9,182,5.5,{95FF6082-2019-4D5C-8EE7-3AFC179CA66B},
942,120301,13223120301,1203.01,ARC 20,3951,2679,67.8,343,12.8,{FBEBBCAE-F526-4287-97CD-0495E443C4FB},
943,120303,13223120303,1203.03,ARC 20,1346,768,57.1,51,6.6,{5F62A510-7588-4562-94C3-2AD75B47F3A6},
944,120102,13223120102,1201.02,ARC 20,8808,6249,70.9,426,6.8,{F4827001-A1E5-4045-B184-B3916730E5F6},
945,120103,13223120103,1201.03,ARC 20,6661,4751,71.3,383,8.1,{421DCEE6-5BDB-4CCD-8A14-B069ED05920D},
946,120302,13223120302,1203.02,ARC 20,10225,7424,72.6,938,12.6,{FA752340-0726-42D9-A735-5B581AB9EEA9},
947,120202,13223120202,1202.02,ARC 20,6127,3974,64.9,157,4,{91645667-3417-4FE1-83C1-516BDAF1B328},
948,120400,13223120400,1204,ARC 20,13520,9071,67.1,785,8.7,{57FB12A7-C835-449F-AE78-D06392FC8507},
