OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
663,007200,13121007200,72,ARC 10,1974,97.3,1974,97.3,1692,83.4,282,13.9,55,2.7,30,54.5,25,45.5,{31ED8FF0-ABFB-4A4E-A24F-7736DEC90FD8},
664,001501,13139001501,15.01,ARC 20,4294,93.2,4265,92.6,2543,55.2,1722,37.4,313,6.8,163,52.1,150,47.9,{3C842AA3-D84B-44A9-8C02-4FFF58C41B5F},
665,001102,13139001102,11.02,ARC 20,2405,53.9,2378,53.3,1886,42.3,492,11,2055,46.1,427,20.8,1628,79.2,{DAB91844-AA99-4DBA-AE6D-9BA5CBC0C6E7},
666,001201,13139001201,12.01,ARC 20,5797,78,5797,78,4483,60.3,1314,17.7,1633,22,304,18.6,1329,81.4,{55FB6314-517D-4B20-95E3-427E1B749DC4},
667,001004,13139001004,10.04,ARC 20,3021,94.3,2930,91.4,1501,46.8,1429,44.6,184,5.7,62,33.7,122,66.3,{542ECBC8-35F9-4493-BE38-B2FCC9AF0BAC},
668,001003,13139001003,10.03,ARC 20,3646,55,3455,52.1,2686,40.5,769,11.6,2982,45,262,8.8,2720,91.2,{3787E085-BE5B-4423-9C64-ED4E64D45E29},
669,000305,13139000305,3.05,ARC 20,4769,97.6,4751,97.3,2967,60.7,1784,36.5,116,2.4,75,64.7,41,35.3,{04C7E478-64E5-4012-AA41-C92A34F78AE2},
670,000304,13139000304,3.04,ARC 20,3357,95.2,3357,95.2,2181,61.8,1176,33.3,171,4.8,22,12.9,149,87.1,{8060281A-89F9-4C7D-A8BD-FE2A91E242BD},
671,000303,13139000303,3.03,ARC 20,2584,93.8,2569,93.2,1545,56.1,1024,37.2,171,6.2,0,0,171,100,{E59EEA0A-01CC-410F-90F1-431F010B369A},
672,000203,13139000203,2.03,ARC 20,4380,99.7,4372,99.6,3309,75.4,1063,24.2,11,0.3,11,100,0,0,{FE2AA6A8-AA80-491B-8E86-1D303CDBCBDE},
673,000204,13139000204,2.04,ARC 20,3829,96,3744,93.9,2872,72,872,21.9,158,4,73,46.2,85,53.8,{6E62BA1D-BB24-4D85-8959-5F2FA1E9D9F8},
674,160100,13255160100,1601,ARC 20,5656,97.7,5612,97,4517,78,1095,18.9,132,2.3,17,12.9,115,87.1,{A8F96CE4-CAF9-4623-8183-7E8216227219},
675,160200,13255160200,1602,ARC 20,5831,92.9,5831,92.9,3779,60.2,2052,32.7,447,7.1,180,40.3,267,59.7,{773BBAF4-BABE-4D54-AA06-DBABF3D05B1C},
676,161000,13255161000,1610,ARC 20,5136,99.6,5107,99,4113,79.8,994,19.3,20,0.4,2,10,18,90,{CAA9BEC5-1176-4141-B4F9-946918D6431E},
677,161200,13255161200,1612,ARC 20,8519,98.4,8463,97.7,6253,72.2,2210,25.5,139,1.6,110,79.1,29,20.9,{EDB7DF2D-D411-441C-8B50-38C132C9F6F2},
678,161100,13255161100,1611,ARC 20,3803,96.8,3744,95.3,2991,76.1,753,19.2,126,3.2,36,28.6,90,71.4,{6867B236-432D-4A7C-9ACA-7D4608D0B5E4},
679,160900,13255160900,1609,ARC 20,2623,97.1,2623,97.1,2145,79.4,478,17.7,78,2.9,20,25.6,58,74.4,{D7803A45-5BC5-4958-B62B-1BA6AB4992DD},
680,160800,13255160800,1608,ARC 20,4647,95.4,4631,95,4145,85.1,486,10,226,4.6,0,0,226,100,{6B1845E1-E9CD-4309-96C3-EC4B0DF33364},
681,160700,13255160700,1607,ARC 20,7264,98,7264,98,5901,79.6,1363,18.4,147,2,147,100,0,0,{18A8BC00-51E0-4401-A114-0AE9C91F4C88},
682,160500,13255160500,1605,ARC 20,6074,93.9,6074,93.9,4372,67.6,1702,26.3,398,6.1,318,79.9,80,20.1,{88C89406-6D5C-4903-B81E-82F76C590F57},
683,160400,13255160400,1604,ARC 20,5409,98.5,5409,98.5,4381,79.8,1028,18.7,84,1.5,0,0,84,100,{513084FF-9808-4568-AB61-0586F7BE82B4},
684,160300,13255160300,1603,ARC 20,3035,94.3,3035,94.3,2710,84.2,325,10.1,183,5.7,28,15.3,155,84.7,{FF8F8211-2727-4AFA-B534-56696E5B28F8},
